Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Base,Gripp Clear Case for Apple iPhone 16  6.1  - Clear,49,15,64
iPhone 16 Base,Gripp Clear MagSafe Case for Apple iPhone 16  6.1  with White Ring - Clear,49,19,68
iPhone 16 Base,Gripp Dusk Magsafe Case for Apple iPhone 16  6.1  - Black,15,5,20
iPhone 16 Base,Gripp Glacier Slim MagSafe Case for Apple iPhone 16  6.1  - Gunmetal,5,1,6
iPhone 16 Base,Gripp Glacier Slim MagSafe Case for Apple iPhone 16  6.1  - Natural Titanium,3,3,6
iPhone 16 Base,Gripp Holdit MagSafe Case for Apple iPhone 16  6.1  - Grey,2,0,2
iPhone 16 Base,Gripp Matrix MagSafe Case for Apple iPhone 16  6.1  - Black,10,5,15
iPhone 16 Base,Gripp STELLAR MagSafe Case for Apple iPhone 16  6.1  - Black Matte,15,5,20
iPhone 16 Base,Gripp STELLAR MagSafe Case for Apple iPhone 16  6.1  - Blue Matte,24,8,32
iPhone 16 Base,Gripp STELLAR MagSafe Case for Apple iPhone 16  6.1  - Green Matte,46,13,59
iPhone 16 Base,Gripp STELLAR MagSafe Case for Apple iPhone 16  6.1  - Transparent,21,4,25
iPhone 16 Base,Gripp Slim Fit Magsafe Case for Apple iPhone 16  6.1  - Black,3,1,4
iPhone 16 Base,Gripp Slim Fit Magsafe Case for Apple iPhone 16  6.1  - Blue,3,4,7
iPhone 16 Base,Gripp Slim Fit Magsafe Case for Apple iPhone 16  6.1  - Green,7,2,9
iPhone 16 Base,Gripp Slim Fit Magsafe Case for Apple iPhone 16  6.1  - White,5,1,6
iPhone 16 Base,PULSE ARMOUR Case for iPhone 16-Black,217,29,246
iPhone 16 Base,PULSE ARMOUR Case for iPhone 16-Dark Blue,80,11,91
iPhone 16 Base,PULSE ARMOUR Case for iPhone 16-Matt Clear,92,11,103
iPhone 16 Base,PULSE Aluminium Rugged Magsafe Case for iPhone 16-Matt Black,203,37,240
iPhone 16 Base,PULSE Aluminium Rugged Magsafe Case for iPhone 16-Matt Green,45,5,50
iPhone 16 Base,PULSE Aluminium Rugged Magsafe Case for iPhone 16-Matt Grey Blue,113,13,126
iPhone 16 Base,PULSE Matt Magsafe Case for iPhone 16-Black,258,48,306
