Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Base,Robocare iPhone 16 TEMPERED GLASS 3D Dust Prevention edge to edge Glass,1,0,1
iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  -  Black,206,68,274
iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Blue,233,56,289
iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Green,257,58,315
iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Pink,90,23,113
iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Silver,166,32,198
iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Gold,519,423,942
iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Natural Titanium,296,173,469
iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Silver,162,137,299
iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1 Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Black,233,203,436
iPhone 16 Pro Max,Robocare iPhone 16 Pro Max TEMPERED GLASS 3D Dust Prevention edge to edge Glass,1,0,1
