product_name,series,category,subcategory,brand,width,height,depth,core_product,frequency,shelf,position,x_coord,y_coord,z_coord
TEKNE Spotfree Cleaning Spray,Mac Universal,cleaning,Default,Tekne,5.0,2.0,12.0,Mac,5851,1,1,0,170,0
PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,Mac Universal,cleaning,Default,PanzerGlass,5.0,2.0,12.0,Mac,1102,1,2,5,170,0
PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,Mac Universal,cleaning,Default,PanzerGlass,5.0,2.0,12.0,Mac,1093,1,3,10,170,0
7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),Mac Universal,hub,Silver,Pulse,8.0,2.0,16.0,Mac,1109,1,4,15,170,0
Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3 2022- 2024,MacBook Air,privacy filter,Black,Pulse,30.0,0.3,20.0,Mac,863,1,5,23,170,0
TEKNE essential USB-C Hub,Mac Universal,hub,Default,Tekne,8.2,2.2,16.5,Mac,389,1,6,53,170,0
TEKNE Gadget Organiser- Olive Green,Mac Universal,charger,Green,Tekne,6.0,4.8,7.5,Mac,332,1,7,61.2,170,0
NATIVE UNION STOW MACBOOK CASE FABRIC SLATE 13,MacBook,hardshell case,Default,Native Union,30.0,1.5,21.0,Mac,310,2,1,0,140,0
Pulse Magnetic privacy filter for MacBook Pro 14.2 inch M1 M2 2021 2023,MacBook Pro,privacy filter,Black,Pulse,30.0,0.3,20.0,Mac,294,2,2,30,140,0
NATIVE UNION STOW MACBOOK CASE FABRIC INDIGO 13,MacBook,hardshell case,Default,Native Union,30.0,1.5,21.0,Mac,262,2,3,60,140,0
TEKNE 240W USB4 Braided Cable,Mac Universal,cable,Default,Tekne,10.2,2.8,15.5,Mac,208,2,4,90,140,0
BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,Mac Universal,accessory,Grey,Belkin,10.0,3.0,12.0,Mac,176,2,5,100.2,140,0
PULSE 100W PD GAN Desktop Charger - White,Mac Universal,charger,White,Pulse,6.0,4.8,7.5,Mac,164,2,6,110.2,140,0
