product_name,series,category,subcategory,brand,width,height,depth,core_product,frequency,shelf,position,x_coord,y_coord,z_coord
Tucano Sandy Sleeve 13/14,Mac Universal,sleeve,Default,Tucano,30.0,0.3,20.0,Mac,126,1,1,0,170,0
Tucano Today Sleeve 13/14,Mac Universal,sleeve,Default,Tucano,30.0,0.3,20.0,Mac,12,1,2,30,170,0
Tucano Top Sleeve 13/14,Mac Universal,sleeve,Default,Tucano,30.0,0.3,20.0,Mac,73,1,3,60,170,0
Tucano Off Road Sleeve 13/14,Mac Universal,sleeve,Default,Tucano,30.0,0.3,20.0,Mac,73,1,4,90,170,0
Tucano Colore Sleeve 13/14,Mac Universal,sleeve,Default,Tucano,30.0,0.3,20.0,Mac,67,1,5,120,170,0
tomtoc Laptop Sleeve 14 Black,Mac Universal,sleeve,Black,tomtoc,30.0,0.3,20.0,Mac,62,1,6,150,170,0
tomtoc Laptop Sleeve 14 Blue,Mac Universal,sleeve,Blue,tomtoc,30.0,0.3,20.0,Mac,50,1,7,180,170,0
Tucano Second Skin sleeve designed especially for 13.3 and 14 notebooks - Black,Mac Universal,sleeve,Black,Tucano,30.0,0.3,20.0,Mac,89,2,1,0,140,0
Tucano Second Skin sleeve designed especially for 13.3 and 14 notebooks - Blue,Mac Universal,sleeve,Blue,Tucano,30.0,0.3,20.0,Mac,52,2,2,30,140,0
RIVACASE 7703 black ECO Laptop sleeve 13.3 / 12,Mac Universal,sleeve,Black,Rivacase,30.0,0.3,20.0,Mac,67,2,3,60,140,0
Tucano Gommo Sleeve-Black Ultrabooks Macbooks 13,MacBook,sleeve,Black,Tucano,30.0,0.3,20.0,Mac,40,2,4,90,140,0
Tucano Gommo Sleeve-Blue Ultrabooks Macbooks 13,MacBook,sleeve,Blue,Tucano,30.0,0.3,20.0,Mac,63,2,5,120,140,0
Tucano Gommo Sleeve Ultrabooks Macbooks 13 -Grey,MacBook,sleeve,Grey,Tucano,30.0,0.3,20.0,Mac,55,2,6,150,140,0
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Black,Mac Universal,sleeve,Black,Gripp,30.0,0.3,20.0,Mac,82,2,7,180,140,0
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Brown,Mac Universal,sleeve,Brown,Gripp,30.0,0.3,20.0,Mac,78,3,1,0,110,0
RIVACASE 5123 black MacBook 13 sleeve / 12,MacBook,sleeve,Black,Rivacase,30.0,0.3,20.0,Mac,34,3,2,30,110,0
RIVACASE 5123 blue MacBook 13 sleeve / 12,MacBook,sleeve,Blue,Rivacase,30.0,0.3,20.0,Mac,32,3,3,60,110,0
RIVACASE 5123 red MacBook 13 sleeve / 12,MacBook,sleeve,Red,Rivacase,30.0,0.3,20.0,Mac,35,3,4,90,110,0
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Yellow,Mac Universal,sleeve,Yellow,Gripp,30.0,0.3,20.0,Mac,31,3,5,120,110,0
Tucano Gommo Sleeve Laptops upto 15.6 Macbooks upto 16 -Military Green,MacBook,sleeve,Green,Tucano,30.0,0.3,20.0,Mac,30,3,6,150,110,0
Tucano Gommo Sleeve Ultrabooks Macbooks 13 -Military Green,MacBook,sleeve,Green,Tucano,30.0,0.3,20.0,Mac,29,3,7,180,110,0
Tucano Smilza Slim Bag-Black,Mac Universal,bag,Black,Tucano,40.0,25.0,35.0,Mac,104,4,1,0,80,0
Tucano Smilza Slim Bag-Blue,Mac Universal,bag,Blue,Tucano,40.0,25.0,35.0,Mac,78,4,2,40,80,0
Tucano Gommo Slimbag-Black Macbooks 13 14,MacBook,bag,Black,Tucano,40.0,25.0,35.0,Mac,88,4,3,80,80,0
Tucano Dark Bag 13/14,Mac Universal,bag,Default,Tucano,40.0,25.0,35.0,Mac,64,4,4,120,80,0
Tucano Gommo Slimbag Macbooks 13 Laptops upto 14 -Blue,MacBook,bag,Blue,Tucano,40.0,25.0,35.0,Mac,51,4,5,160,80,0
Tucano Smilza Slimbag Macbooks 13 Laptops upto 14 -Beige,MacBook,bag,Beige,Tucano,40.0,25.0,35.0,Mac,50,5,1,0,50,0
Tucano Slimbag Minilux 13 Macbook - Blue,MacBook,bag,Blue,Tucano,40.0,25.0,35.0,Mac,44,5,2,40,50,0
Tucano Gommo Slimbag Macbooks 13 Laptops upto 14 -Military Green,MacBook,bag,Green,Tucano,40.0,25.0,35.0,Mac,41,5,3,80,50,0
Tucano Dark Slimbag-Black Macbooks 13 14,MacBook,bag,Black,Tucano,40.0,25.0,35.0,Mac,40,5,4,120,50,0
Tucano Smilza Slimbag Macbooks upto 16 Laptops upto 15.6 -Black,MacBook,bag,Black,Tucano,40.0,25.0,35.0,Mac,38,5,5,160,50,0
Tucano Smilza Slimbag Macbooks upto 16 Laptops upto 15.6 -Blue,MacBook,bag,Blue,Tucano,40.0,25.0,35.0,Mac,37,6,1,0,20,0
Tucano Work Out 4 Bag 13/14,Mac Universal,bag,Default,Tucano,40.0,25.0,35.0,Mac,29,6,2,40,20,0
Tucano Gommo Slimbag-Black Macbooks upto 16,MacBook,bag,Black,Tucano,40.0,25.0,35.0,Mac,27,6,3,80,20,0
Tucano Gommo Slimbag Macbooks 13 Laptops upto 14 -Grey,MacBook,bag,Grey,Tucano,40.0,25.0,35.0,Mac,26,6,4,120,20,0
Tucano Smilza Slimbag Macbooks 13 Laptops upto 14 -Yellow,MacBook,bag,Yellow,Tucano,40.0,25.0,35.0,Mac,25,6,5,160,20,0
Tucano Gommo Slimbag-Blue Macbooks upto 16,MacBook,bag,Blue,Tucano,40.0,25.0,35.0,Mac,23,7,1,0,0,0
Tucano Gommo Shoulder Bag-Black upto Macbooks 16,MacBook,bag,Black,Tucano,40.0,25.0,35.0,Mac,19,7,2,40,0,0
Tucano Planet AGS Backpack 16,Mac Universal,bag,Default,Tucano,40.0,35.0,35.0,Mac,17,7,3,80,0,0
Tucano Slimbag Minilux 13 Macbook - Dark Grey,MacBook,bag,Grey,Tucano,40.0,25.0,35.0,Mac,17,7,4,120,0,0
Tucano Gommo Backpack-Black upto Macbook 16,MacBook,bag,Black,Tucano,40.0,35.0,35.0,Mac,16,7,5,160,0,0
