index,Series,Product Name,PureQty,ImpureQty,FinalQty
0,iPhone 15 Base,AT Minimal Case For iPhone 15- 81016- Clear,1,0,1
1,iPhone 15 Base,AT Minimal Magsafe Case For iPhone 15 -81054 -Clear,18,5,23
2,iPhone 15 Base,Gripp Alpine Case for Apple iPhone 15(6.1) - Black,5,2,7
3,iPhone 15 Base,Gripp Alpine Magsafe Case for Apple iPhone 15(6.1) - Black,9,4,13
4,iPhone 15 Base,Gripp Bolt Case for Apple iPhone 15 (6.1) - Black,4,3,7
5,iPhone 15 Base,Gripp Bolt Case for Apple iPhone 15 Max (6.7) - Black,157,61,218
6,iPhone 15 Base,Gripp Bolt MagSafe Case for Apple iPhone 15 (6.1) - Black,6,7,13
7,iPhone 15 Base,Gripp Bolt MagSafe Case for Apple iPhone 15 Max (6.7) - Black,97,52,149
8,iPhone 15 Base,Gripp CLARION Case for Apple iPhone 15 (6.1) - Black,8,8,16
9,iPhone 15 Base,Gripp CLARION Case for Apple iPhone 15 Max (6.7) - Black,68,22,90
10,iPhone 15 Base,Gripp CLARION MAGSAFE Case for Apple iPhone 15 (6.1) - Black,15,8,23
11,iPhone 15 Base,Gripp CLARION MAGSAFE Case for Apple iPhone 15 Max  6.7    Black,55,33,88
12,iPhone 15 Base,Gripp Clear Case for Apple iPhone 15 (6.1) - Clear,30,8,38
13,iPhone 15 Base,Gripp Clear Case for Apple iPhone 15 Max (6.7) - Clear,196,45,241
14,iPhone 15 Base,Gripp Clear MagSafe Case for Apple iPhone 15 (6.1) with White Ring - Clear,20,8,28
15,iPhone 15 Base,Gripp Clear MagSafe Case for Apple iPhone 15 Max  6.7  with White Ring - Clear,421,130,551
16,iPhone 15 Base,Gripp Combat Case for Apple iPhone 15 (6.1) - Clear,7,3,10
17,iPhone 15 Base,Gripp Combat Case for Apple iPhone 15 (6.1) - Smoke,10,1,11
18,iPhone 15 Base,Gripp Combat Case for Apple iPhone 15 Max (6.7) - Smoke,8,1,9
19,iPhone 15 Base,Gripp Combat Magsafe Case for Apple iPhone 15 (6.1) - Clear,4,1,5
20,iPhone 15 Base,Gripp Combat Magsafe Case for Apple iPhone 15 (6.1) - Smoke,7,6,13
21,iPhone 15 Base,Gripp Combat Magsafe Case for Apple iPhone 15 Max (6.7) - Clear,4,10,14
22,iPhone 15 Base,Gripp Defender Case for Apple iPhone 15 (6.1) - Black,7,1,8
23,iPhone 15 Base,Gripp Defender Case for Apple iPhone 15 Max (6.7) - Black,11,12,23
24,iPhone 15 Base,Gripp Defender Magsafe Case for Apple iPhone 15 (6.1) - Black,7,6,13
25,iPhone 15 Base,Gripp Defender Magsafe Case for Apple iPhone 15 Max (6.7) - Black,3,12,15
26,iPhone 15 Base,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15 Max- Black,48,32,80
27,iPhone 15 Base,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15- Black,4,4,8
28,iPhone 15 Base,Gripp ICE FROST Case for Apple iPhone 15 (6.1) - Clear Frost,9,4,13
29,iPhone 15 Base,Gripp ICE FROST MagSafe Case for Apple iPhone 15 (6.1) with White Ring - Clear Frost,61,38,99
30,iPhone 15 Base,Gripp ICE FROST MagSafe Case for Apple iPhone 15 Max (6.7) with White Ring - Clear Frost,128,72,200
31,iPhone 15 Base,Gripp NEO Case for Apple iPhone 15 (6.1) - Smoke,10,4,14
32,iPhone 15 Base,Gripp NEO Case for Apple iPhone 15 Max (6.7) - Smoke,55,21,76
33,iPhone 15 Base,Gripp NEO MagSafe Case for Apple iPhone 15 (6.1) - Smoke,11,5,16
34,iPhone 15 Base,Gripp NEO MagSafe Case for Apple iPhone 15 Max (6.7) - Smoke,90,41,131
35,iPhone 15 Base,Gripp NEO XTREME Magsafe Case for Apple iPhone 15 (6.1) - Clear,7,4,11
36,iPhone 15 Base,Gripp NEO XTREME Magsafe Case for Apple iPhone 15 (6.1) - Smoke,4,6,10
37,iPhone 15 Base,Gripp Raigor Magsafe case for Apple iPhone 15 (6.1) - Black,0,1,1
38,iPhone 15 Base,Gripp Rubon Magsafe Case for Apple iPhone 15 (6.1) - Black,3,3,6
39,iPhone 15 Base,Gripp Rubon Magsafe Case for Apple iPhone 15 (6.1) - Grey,1,2,3
40,iPhone 15 Base,Gripp Rubon Magsafe Case for Apple iPhone 15 (6.1) - Sierra Blue,10,10,20
