product_name                                                                                                      , series           , category        , subcategory   , brand     , width, height, depth, pureqty, impureqty, core_product
iPhone 16 Clear Case with MagSafe                                                                                 , iPhone 16 Base   , case            , clear         , Apple     ,    11,     21,     3,    92.0,        27, iPhone
iPhone 16 Silicone Case with MagSafe - Black                                                                      , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,    44.0,        30, iPhone
iPhone 16 Silicone Case with MagSafe - Denim                                                                      , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,    24.0,        11, iPhone
iPhone 16 Silicone Case with MagSafe - Fuchsia                                                                    , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,    13.0,         9, iPhone
iPhone 16 Silicone Case with MagSafe - Lake Green                                                                 , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,    40.0,        22, iPhone
iPhone 16 Silicone Case with MagSafe - Plum                                                                       , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,     9.0,         8, iPhone
iPhone 16 Silicone Case with MagSafe - Star Fruit                                                                 , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,     7.0,         1, iPhone
iPhone 16 Silicone Case with MagSafe - Stone Gray                                                                 , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,     1.0,         4, iPhone
iPhone 16 Silicone Case with MagSafe - Ultramarine                                                                , iPhone 16 Base   , case            , silicone      , Apple     ,    11,     21,     3,    15.0,        18, iPhone
iPhone 16 Plus Clear Case with MagSafe                                                                            , iPhone 16 Plus   , case            , clear         , Apple     ,    11,     21,     3,    71.0,        16, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Black                                                                 , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,    15.0,        10, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Denim                                                                 , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,    10.0,         5, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Fuchsia                                                               , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,    16.0,        10, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Lake Green                                                            , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,    15.0,         9, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Plum                                                                  , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,     7.0,         3, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Star Fruit                                                            , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,     1.0,         1, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Stone Gray                                                            , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,     6.0,        10, iPhone
iPhone 16 Plus Silicone Case with MagSafe - Ultramarine                                                           , iPhone 16 Plus   , case            , silicone      , Apple     ,    11,     21,     3,    16.0,         9, iPhone
iPhone 16 Pro Clear Case with MagSafe                                                                             , iPhone 16 Pro    , case            , clear         , Apple     ,    11,     21,     3,   195.0,       210, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Black                                                                  , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,    93.0,       108, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Denim                                                                  , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,    11.0,        32, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Fuchsia                                                                , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,     6.0,         8, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Lake Green                                                             , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,     0.0,         8, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Plum                                                                   , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,     4.0,        14, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Star Fruit                                                             , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,     5.0,         6, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Stone Gray                                                             , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,    12.0,        18, iPhone
iPhone 16 Pro Silicone Case with MagSafe - Ultramarine                                                            , iPhone 16 Pro    , case            , silicone      , Apple     ,    11,     21,     3,     9.0,        19, iPhone
iPhone 16 Pro Max Clear Case with MagSafe                                                                         , iPhone 16 Pro Max, case            , clear         , Apple     ,    11,     21,     3,   222.0,       291, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Black                                                              , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    43.0,        82, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Denim                                                              , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    11.0,        42, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Fuchsia                                                            , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    10.0,        19, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Lake Green                                                         , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    14.0,        37, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Plum                                                               , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    14.0,        21, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Star Fruit                                                         , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,     8.0,        10, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Stone Gray                                                         , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,    11.0,        21, iPhone
iPhone 16 Pro Max Silicone Case with MagSafe - Ultramarine                                                        , iPhone 16 Pro Max, case            , silicone      , Apple     ,    11,     21,     3,     7.0,        22, iPhone
Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15                                                     , iPhone 15 Base   , screen_protector, tempered_glass, Flayrr    ,    11,     21,     3,     4.0,         1, iPhone
Gripp Privacy Glass for  Apple iPhone 15  6.1    Black                                                            , iPhone 15 Base   , other           ,               , Gripp     ,    11,     21,     3,   150.0,       122, iPhone
Gripp Privacy Glass for  Apple iPhone 15 Max  6.7    Black                                                        , iPhone 15 Base   , other           ,               , Gripp     ,    11,     21,     3,   165.0,       151, iPhone
Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15 Plus                                                , iPhone 15 Plus   , screen_protector, tempered_glass, Flayrr    ,    11,     21,     3,     1.0,         8, iPhone
Gripp Privacy Glass for  Apple iPhone 15 Pro  6.1    Black                                                        , iPhone 15 Pro    , other           ,               , Gripp     ,    11,     21,     3,    50.0,       205, iPhone
PG Ceramic Protection - iPhone 15 Pro UWF wA - 2838                                                               , iPhone 15 Pro    , other           ,               , PG        ,    11,     21,     3,     4.0,        32, iPhone
Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15 Pro Max                                             , iPhone 15 Pro Max, screen_protector, tempered_glass, Flayrr    ,    11,     21,     3,     1.0,         3, iPhone
Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Diamond Blue    , iPhone 15 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,    51.0,       394, iPhone
Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Grey/Gold       , iPhone 15 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,    95.0,       438, iPhone
Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Silver          , iPhone 15 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,    37.0,       288, iPhone
Gripp FOCAL Camera Lens Protector 3N1(Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Grey             , iPhone 15 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,    67.0,       350, iPhone
Gripp Privacy Glass for  Apple iPhone 15 Pro Max  6.7    Black                                                    , iPhone 15 Pro Max, other           ,               , Gripp     ,    11,     21,     3,   114.0,       522, iPhone
Gripp Tempered Glass 0.3mm  for Apple iPhone 15 PRO Max  6.7    Clear                                             , iPhone 15 Pro Max, screen_protector, tempered_glass, Gripp     ,    11,     21,     3,    90.0,       430, iPhone
PG Ceramic Protection for iPhone 15 Pro Max UWF wA - 2840                                                         , iPhone 15 Pro Max, other           ,               , PG        ,    11,     21,     3,     8.0,         7, iPhone
Gripp Tempered Glass 0.3mm  for Apple iPhone 16  6.1   - Clear                                                    , iPhone 16 Base   , screen_protector, tempered_glass, Gripp     ,    11,     21,     3,     3.0,         0, iPhone
Robocare iPhone 16 TEMPERED GLASS 3D Dust Prevention edge to edge Glass                                           , iPhone 16 Base   , screen_protector, tempered_glass, Robocare  ,    11,     21,     3,     1.0,         0, iPhone
Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Plus  6.7   - Black                                        , iPhone 16 Plus   , screen_protector, tempered_glass, Gripp     ,    11,     21,     3,    92.0,        41, iPhone
Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  -  Black                 , iPhone 16 Plus   , screen_protector, lens_protector, Gripp     ,    11,     21,     3,   243.0,        87, iPhone
Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Blue                   , iPhone 16 Plus   , screen_protector, lens_protector, Gripp     ,    11,     21,     3,   252.0,        77, iPhone
Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Green                  , iPhone 16 Plus   , screen_protector, lens_protector, Gripp     ,    11,     21,     3,   299.0,        70, iPhone
Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Pink                    , iPhone 16 Plus   , screen_protector, lens_protector, Gripp     ,    11,     21,     3,   111.0,        31, iPhone
Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Silver                  , iPhone 16 Plus   , screen_protector, lens_protector, Gripp     ,    11,     21,     3,   189.0,        48, iPhone
Gripp Tempered Glass 0.3mm  for Apple iPhone 16 Plus  6.7   - Clear                                               , iPhone 16 Plus   , screen_protector, tempered_glass, Gripp     ,    11,     21,     3,     0.0,         1, iPhone
Robocare iPhone 16 Plus TEMPERED GLASS 3D Dust Prevention edge to edge Glass                                      , iPhone 16 Plus   , screen_protector, tempered_glass, Robocare  ,    11,     21,     3,     0.0,         1, iPhone
Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Pro  6.3   - Black                                         , iPhone 16 Pro    , screen_protector, tempered_glass, Gripp     ,    11,     21,     3,    68.0,        63, iPhone
Gripp Tempered Glass 0.3mm  for Apple iPhone 16 PRO  6.3   - Clear                                                , iPhone 16 Pro    , screen_protector, tempered_glass, Gripp     ,    11,     21,     3,     3.0,         0, iPhone
Robocare iPhone 16 Pro TEMPERED GLASS 3D Dust Prevention edge to edge Glass                                       , iPhone 16 Pro    , screen_protector, tempered_glass, Robocare  ,    11,     21,     3,     1.0,         2, iPhone
Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Pro Max  6.9   - Black                                     , iPhone 16 Pro Max, screen_protector, tempered_glass, Gripp     ,    11,     21,     3,   179.0,       200, iPhone
Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Gold            , iPhone 16 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,   530.0,       458, iPhone
Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Natural Titanium, iPhone 16 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,   351.0,       239, iPhone
Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Silver          , iPhone 16 Pro Max, screen_protector, lens_protector, Gripp     ,    11,     21,     3,   210.0,       207, iPhone
