product_name                                                                            ,frequency ,subcategory                    ,brand        ,category          ,width ,depth ,height
AT Smoothie Mag Magnetic Band For IWatch 49/45/41MM -79280-Gray/Blue                    ,     13   ,45/41MM                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Smoothie Mag Magnetic Band For IWatch 49/45/41MM-79273- Black/Orange                 ,     20   ,45/41MM                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Metal Strap 41mm-77217-Black                                                   ,      6   ,41mm                           ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Metal Strap 49/45mm-77279- Black                                               ,      8.5 ,49/45mm                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Metal Strap 49/45mm-77286- Silver                                              ,     10   ,49/45mm                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Metal Strap for Apple Watch 41mm-77224-Silver                                  ,      4   ,41mm                           ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Sports Strap for Apple Watch 49mm-77668-Purple                                 ,      9   ,49mm                           ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Sports Strap for Apple Watch 49mm-77682-Grey                                   ,      9   ,49mm                           ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Steel iwatch Strap for 49/45mm-82433-BLACK                                     ,      6   ,49/45mm                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan Steel iwatch Strap for 49/45mm-82440-SILVER                                    ,      4   ,49/45mm                        ,AmazingThing ,Straps            ,    6 ,    2 ,    20
AT Titan sports strap for apple wach 49mm-77675-Black                                   ,      5   ,49mm                           ,AmazingThing ,Straps            ,    6 ,    2 ,    20
Devia SPORTS BAND 44MM/42MM (BLUE HORIZON )                                             ,      2   ,"44MM, 42MM"                   ,Devia        ,Straps            ,    6 ,    2 ,    20
Devia STAINLESS STEEL LOOP 44MM/42MM (GOLDEN)                                           ,      1   ,"44MM, 42MM"                   ,Devia        ,Straps            ,    6 ,    2 ,    20
Gripp 38/40mm stainless steel watch strap - Black                                       ,     66   ,38/40mm                        ,Gripp        ,Straps            ,    6 ,    2 ,    20
Gripp 38/40mm stainless steel watch strap - Gold                                        ,     78.5 ,38/40mm                        ,Gripp        ,Straps            ,    6 ,    2 ,    20
