product_name,series,category,subcategory,brand,width,height,depth,core_product,frequency
"""Tucano iPad 10 2"""" and Air / Pro 10 5 - Gold""",iPad Base,case,Gold,Tucano,25.0,17.0,0.75,iPad,5
"""Tucano iPad 10 2"""" and Air / Pro 10 5 - Silver""",iPad Base,case,Silver,Tucano,25.0,17.0,0.75,iPad,1
Gripp Armor Case for Apple iPad 10.2 - Black,iPad Base,armor case,Black,Gripp,25.0,17.4,0.75,iPad,2
Gripp Armor Case for Apple iPad Air 10.9 - Black,iPad Air,armor case,Black,Gripp,25.0,17.8,0.75,iPad,21
Gripp Armor Case for Apple iPad Air 11  2024    Black,iPad Air,armor case,Black,Gripp,25.0,17.8,0.75,iPad,51
Gripp Armor Case for Apple iPad Pro 11 (2021) - Black,iPad Pro,armor case,Black,Gripp,25.0,17.8,0.75,iPad,23
Gripp Armor Case for Apple iPad Pro 12.9 2020 - Black,iPad Pro,armor case,Black,Gripp,28.0,21.5,0.8,iPad,30
Gripp Element Case for Apple iPad Air 11  2024    Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,36
Gripp IPad 11 Case Combo Pack (Gripp 11 Rhino Case + Gripp 11 Tempered Glass + Gripp IPad Stand),iPad Base,case,Red,Gripp,25.0,17.8,0.75,iPad,1
Gripp Melon Case for Apple iPad 10.9 (10th Generation) 2022 - Grey/Black,iPad Base,case,Grey/Black,Gripp,25.0,17.8,0.75,iPad,151
Gripp Melon Case for Apple iPad 10.9 10th Generation  2022   Yellow,iPad Base,case,Yellow,Gripp,25.0,17.8,0.75,iPad,38
Gripp Melon Case for Apple iPad Air 11  2024    Grey Black,iPad Air,case,Grey,Gripp,25.0,17.8,0.75,iPad,65
Gripp Melon Case for Apple iPad Air 13  2024    Grey Black,iPad Air,case,Grey,Gripp,25.0,17.0,0.75,iPad,4
Gripp Melon Case for Apple iPad Pro 11  2024    Grey Black,iPad Pro,case,Grey,Gripp,25.0,17.8,0.75,iPad,36
Gripp Melon Case for Apple iPad Pro 11 2022 - Dark Blue,iPad Pro,case,Dark Blue,Gripp,25.0,17.8,0.75,iPad,68
Gripp Melon Case for Apple iPad Pro 11 2022 - Grey/Black,iPad Pro,case,Grey/Black,Gripp,25.0,17.8,0.75,iPad,67
Gripp Melon Case for Apple iPad Pro 11 2022 - Sky Blue,iPad Pro,case,Sky Blue,Gripp,25.0,17.8,0.75,iPad,32
Gripp Melon Case for Apple iPad Pro 11 2022 - Yellow,iPad Pro,case,Yellow,Gripp,25.0,17.8,0.75,iPad,24
Gripp Melon Case for Apple iPad Pro 13  2024    Grey Black,iPad Pro,case,Grey,Gripp,25.0,17.0,0.75,iPad,29
Gripp Mingo Case for Apple iPad 10.2 - Rainbow Pink,iPad Base,case,Rainbow Pink,Gripp,25.0,17.4,0.75,iPad,2
Gripp Mingo Case for Apple iPad 10.2- Rainbow Blue,iPad Base,case,Rainbow Blue,Gripp,25.0,17.4,0.75,iPad,2
Gripp Rhino Case for Apple iPad 10.2 - Black,iPad Base,case,Black,Gripp,25.0,17.4,0.75,iPad,9
Gripp Rhino Case for Apple iPad 10.2 - Blue,iPad Base,case,Blue,Gripp,25.0,17.4,0.75,iPad,19
Gripp Rhino Case for Apple iPad 10.2 - Grey,iPad Base,case,Grey,Gripp,25.0,17.4,0.75,iPad,11
Gripp Rhino Case for Apple iPad 10.9 (10th Generation) 2022 - Black,iPad Base,case,Black,Gripp,25.0,17.8,0.75,iPad,9
Gripp Rhino Case for Apple iPad Air 10.9 - Blue,iPad Air,case,Blue,Gripp,25.0,17.8,0.75,iPad,3
Gripp Rhino Case for Apple iPad Air 10.9 - SKY Blue,iPad Air,case,Sky Blue,Gripp,25.0,17.8,0.75,iPad,1
Gripp Rhino Case for Apple iPad Air Air 10.9 - Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,4
Gripp Rhino Case for Apple iPad Pro 11 2021 -Blue,iPad Pro,case,Blue,Gripp,25.0,17.8,0.75,iPad,1
Gripp Rhino Case for Apple iPad Pro 12.9 2020 - Black,iPad Pro,case,Black,Gripp,28.0,21.5,0.8,iPad,7
Gripp STYLEUS Case for Apple iPad Air 10.9 Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,69
Gripp STYLEUS Case for Apple iPad Air 10.9 Sky Blue,iPad Air,case,Sky Blue,Gripp,25.0,17.8,0.75,iPad,44
Gripp STYLEUS Case for Apple iPad Air 11  2024    Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,28
Gripp STYLEUS Case for Apple iPad Air 11  2024    Lavender,iPad Air,case,Light Pink,Gripp,25.0,17.8,0.75,iPad,45
Gripp STYLEUS Case for Apple iPad Pro 11 2021 - Black,iPad Pro,case,Black,Gripp,25.0,17.8,0.75,iPad,61
Gripp STYLEUS Case for Apple iPad Pro 11 2021 - Sky Blue,iPad Pro,case,Sky Blue,Gripp,25.0,17.8,0.75,iPad,55
Gripp Terra Case for Apple iPad 10.2 - Blue,iPad Base,case,Blue,Gripp,25.0,17.4,0.75,iPad,2
Gripp Terra Case for Apple iPad Pro 11/iPad Air 10.9 - Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,3
Gripp Terra Case for Apple iPad Pro 11/iPad Air 10.9 - Blue,iPad Air,case,Blue,Gripp,25.0,17.8,0.75,iPad,5
Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Black,iPad Base,case,Black,Gripp,25.0,17.8,0.75,iPad,117
Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Grey,iPad Base,case,Grey,Gripp,25.0,17.8,0.75,iPad,79
Gripp Ultra Case for Apple iPad Air 10.9 2022 - Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,44
Gripp Ultra Case for Apple iPad Air 11  2024    Black,iPad Air,case,Black,Gripp,25.0,17.8,0.75,iPad,219
Gripp Ultra Case for Apple iPad Air 11  2024    Grey,iPad Air,case,Grey,Gripp,25.0,17.8,0.75,iPad,75
Gripp Ultra Case for Apple iPad Air 13  2024    Black,iPad Air,case,Black,Gripp,25.0,17.0,0.75,iPad,135
Gripp Ultra Case for Apple iPad Pro 11  2022   Grey,iPad Pro,case,Grey,Gripp,25.0,17.8,0.75,iPad,3
Gripp Ultra Case for Apple iPad Pro 11  2024    Black,iPad Pro,case,Black,Gripp,25.0,17.8,0.75,iPad,164
Gripp Ultra Case for Apple iPad Pro 11 2022 - Black,iPad Pro,case,Black,Gripp,25.0,17.8,0.75,iPad,57
Gripp Ultra Case for Apple iPad Pro 12.9 2022   Grey,iPad Pro,case,Grey,Gripp,28.0,21.5,0.8,iPad,50
Gripp Ultra Case for Apple iPad Pro 13  2024    Black,iPad Pro,case,Black,Gripp,25.0,17.0,0.75,iPad,122
Inspire-B02 iPad Folio Tri-Cover 10.9 - 11 inch,iPad Base,folio,Black,tomtoc,25.0,17.8,0.75,iPad,11
Inspire-B02 iPad Pro Tri-Mode Case 11 inch,iPad Pro,case,Black,tomtoc,25.0,17.8,0.75,iPad,18
Inspire-B02 iPad Pro Tri-Mode Case 12.9 inch,iPad Pro,case,Black,tomtoc,28.0,21.5,0.8,iPad,19
Inspire-B02 iPad Tri-Case 10.2 inch,iPad Base,case,Black,tomtoc,25.0,17.4,0.75,iPad,18
Inspire-B02 iPad Tri-Case 10.9 inch,iPad Base,case,Black,tomtoc,25.0,17.8,0.75,iPad,24
Logitech Combo Touch for 10th Gen iPad- 10.9,iPad Base,keyboard case,Grey,Logitech,25.0,17.8,0.75,iPad,18
Logitech Combo Touch for ipad 7th   8th Gen,iPad Base,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,6
Logitech Combo Touch for ipad 7th   8th Gen - NEW,iPad Base,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,10
Logitech Combo touch backlit keyboard case with trackpad 11 - NEW,iPad Base,keyboard case,Grey,Logitech,25.0,17.8,0.75,iPad,19
Logitech Combo touch backlit keyboard case with trackpad 12.9,iPad Base,keyboard case,Grey,Logitech,28.0,21.5,0.8,iPad,11
Logitech Combo touch backlit keyboard case with trackpad 12.9 - NEW,iPad Base,keyboard case,Grey,Logitech,28.0,21.5,0.8,iPad,16
Logitech Combo touch foriPad Air  4th gen  - NEW,iPad Air,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,26
Logitech RUGGED FOLIO FORiPad 7TH GEN,iPad Base,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,5
Logitech Slim Folio For iPad  7th gen,iPad Base,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,2
Logitech Slim Folio For iPad  7th gen  - DEMO,iPad Base,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,2
Logitech Slim Folio For iPad Air  3rd gen,iPad Air,keyboard case,Grey,Logitech,25.0,17.0,0.75,iPad,1
