product_name                                                                                           , series       , category      , subcategory   , brand          , width, height, depth, core_product, frequency
5 Meter HDMI Gold 4K 2.0 Ethernet Ultra HD Cable                                                       , Mac Universal, cable         , Gold          , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         2
7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER)                                                               , Mac Universal, hub           , Silver        , Pulse          ,   8.0,    2.0,  16.0, Mac         ,      1109
ALOGIC USB- C AnchorHDMI Hub - USB-A (USB2.0)  USB-C (PD 60W) 3.5mm Audio Jack  HDMI                   , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,        27
ALOGIC USB-C Dock Wave - ALL-IN-ONE / USB-C Hub with Power Delivery  Power Bank & Wireless Charger     , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,        17
ALOGIC USB-C Fusion ALPHA 5-in-1 Hub - HDMI/USB/Ethernet & Power Delivery                              , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,         8
ALOGIC USB-C Fusion ALPHA 5-in-1 Hub V2                                                                , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,        36
ALOGIC USB-C Fusion SWIFT 4-in-1 Hub                                                                   , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,        23
ALOGIC USB-C Laptop/Macbook Wall Charger 60W with Power Delivery                                       , MacBook      , charger       , Default       , ALOGIC         ,   6.0,    4.8,   7.5, Mac         ,         4
ALOGIC USB-C MultiPort Adapter with Card Reader/3 x USB 3.0 Hub                                        , Mac Universal, hub           , Default       , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,         4
ALOGIC Ultra USB-C Dock UNI V2 - Space Grey                                                            , Mac Universal, hub           , Grey          , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,         6
AT Marsix Case For Macbook Air 15.3-82679-Black                                                        , MacBook Air  , hardshell case, Black         , AmazingThing   ,  30.0,    1.5,  21.0, Mac         ,        21
AT Marsix Pro Case For Macbook Pro 13 -77569 -Black                                                    , MacBook Pro  , hardshell case, Black         , AmazingThing   ,  30.0,    1.5,  21.0, Mac         ,         8
Alogic Fusion CORE USB-C 5 in 1 HDMI & USB Hub - Space Grey                                            , Mac Universal, hub           , Grey          , ALOGIC         ,   8.0,    2.0,  16.0, Mac         ,         2
Alogic Metro Adjustable   Portable Folding Notebook Stand - Space Grey                                 , Mac Universal, stand         , Space Grey    , ALOGIC         ,  15.0,   10.0,  15.0, Mac         ,         1
BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY                                                              , Mac Universal, accessory     , Grey          , Belkin         ,  10.0,    3.0,  12.0, Mac         ,       176
BELT CCL COS NP BELT CABLE DUO C TO C L COSMOS 1.5M                                                    , Mac Universal, cable         , Default       , Native Union   ,  10.2,    2.8,  15.5, Mac         ,         2
Belkin ADAPTER  USB-C TO HDMI  VGA  DVI  DISPLAYPORT  BLK                                              , Mac Universal, charger       , Default       , Belkin         ,   6.0,    4.8,   7.5, Mac         ,         6
Belkin BUNDLE TCP 2.0 LAUNCH KIT Cleaning Spray  Cleaning Cloth  Film Removal & Application            , Mac Universal, cleaning      , Default       , Belkin         ,   5.0,    2.0,  12.0, Mac         ,         2
Belkin MIXIT UP LTG TO USB CHARGESYNC CBL 2.4A 6 BLK                                                   , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         2
Belkin PVC A-LTG 1M  WHITE - Lightning Cable                                                           , Mac Universal, cable         , White         , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         1
Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning                                                    , Mac Universal, cable         , Green         , Belkin         ,  10.2,    2.8,  15.5, Mac         ,        21
Belkin PVC C-LTG 1M  WHITE - C -Lightning Cable                                                        , Mac Universal, cable         , White         , Belkin         ,  10.2,    2.8,  15.5, Mac         ,        18
Belkin USB-A TO MICRO USB/LTG/USB-C 4 CHRG/SYNC CABLE                                                  , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,        11
Belkin USB-A to LTG  SILICONE  1M  WHT                                                                 , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         2
Belkin USB-C to LTG  SILICONE  1M  WHT                                                                 , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         2
Belkin USB-C to Lightning Cable 1.2M - BLK                                                             , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         3
Belkin USB-C to Lightning Cable 1.2M WHT                                                               , Mac Universal, cable         , Default       , Belkin         ,  10.2,    2.8,  15.5, Mac         ,         3
Belkin iPhone Dock (Silver)                                                                            , Mac Universal, hub           , Silver        , Belkin         ,   8.0,    2.0,  16.0, Mac         ,         5
Belkin-6-OUTLET SURGE PROTECTOR  2 METER CORD                                                          , Mac Universal, charger       , Default       , Belkin         ,   6.0,    4.8,   7.5, Mac         ,       100
G203 Lightsync - Black                                                                                 , Mac Universal, peripheral    , Mouse         , Logitech       ,  10.0,    3.0,  12.0, Mac         ,         6
GRAVASTAR M1 PRO GRY   MERCURY M1 PRO WIRELESS GAMING MOUSE                                            , Mac Universal, peripheral    , Default       , Gravastar      ,  10.0,    3.0,  12.0, Mac         ,         2
GRAVASTAR M1 PRO WSM   MERCURY M1 PRO WIRELESS GAMING MOUSE  BATTLE WOM VERSION  4K DONGLE             , Mac Universal, peripheral    , Default       , Gravastar      ,  10.0,    3.0,  12.0, Mac         ,         1
GRAVASTAR M2 BLK   MERCURY M2 WIRELESS GAMING MOUSE                                                    , Mac Universal, peripheral    , Default       , Gravastar      ,  10.0,    3.0,  12.0, Mac         ,         2
Gripp Compaq Hardshel for Apple Macbook Air 15  M2   2023    Frost                                     , MacBook Air  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         1
Gripp Compaq Hardshel for Apple Macbook Pro 13 M2 - 2022 & M1 - 2021 Black                             , MacBook Pro  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         2
Gripp Compaq Hardshel for Apple Macbook Pro 14 M1 -2021 - Black                                        , MacBook Pro  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        11
Gripp Compaq Hardshel for Apple Macbook Pro 14 M1 -2021 - Frost                                        , MacBook Pro  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         2
Gripp Compaq Hardshel for Apple Macbook Pro 16 M1 - 2021 - Frost                                       , MacBook Pro  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         6
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Black                                , MacBook Air  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        14
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Frost                                , MacBook Air  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        21
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Navy Blue                            , MacBook Air  , hardshell case, Navy Blue     , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         5
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Smoke                                , MacBook Air  , hardshell case, Smoke         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         4
Gripp Compaq Macbook Air Hardshel case 13.6 (M2 2022) - Black                                          , MacBook Air  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        63
