index,Series,Product Name,PureQty,ImpureQty,FinalQty
0,iPhone 15 Base,Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15,4,1,5
1,iPhone 15 Base,Gripp Privacy Glass for  Apple iPhone 15  6.1    Black,150,122,272
2,iPhone 15 Base,Gripp Privacy Glass for  Apple iPhone 15 Max  6.7    Black,165,151,316
3,iPhone 15 Plus,Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15 Plus,1,8,9
4,iPhone 15 Pro,Gripp Privacy Glass for  Apple iPhone 15 Pro  6.1    Black,50,205,255
5,iPhone 15 Pro,PG Ceramic Protection - iPhone 15 Pro UWF wA - 2838,4,32,36
6,iPhone 15 Pro Max,Flayrr 3D Edge to Edge 3D Smooth Tempered Glass for iPhone 15 Pro Max,1,3,4
7,iPhone 15 Pro Max,Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Diamond Blue,51,394,445
8,iPhone 15 Pro Max,Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Grey/Gold,95,438,533
9,iPhone 15 Pro Max,Gripp FOCAL Camera Lens Protector 3N1 (Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Silver,37,288,325
10,iPhone 15 Pro Max,Gripp FOCAL Camera Lens Protector 3N1(Compatible with Apple iPhone 15 Pro & iPhone 15 Pro Max) - Grey,67,350,417
11,iPhone 15 Pro Max,Gripp Privacy Glass for  Apple iPhone 15 Pro Max  6.7    Black,114,522,636
12,iPhone 15 Pro Max,Gripp Tempered Glass 0.3mm  for Apple iPhone 15 PRO Max  6.7    Clear,90,430,520
13,iPhone 15 Pro Max,PG Ceramic Protection for iPhone 15 Pro Max UWF wA - 2840,8,7,15
14,iPhone 16 Base,Gripp Tempered Glass 0.3mm  for Apple iPhone 16  6.1   - Clear,3,0,3
15,iPhone 16 Base,Robocare iPhone 16 TEMPERED GLASS 3D Dust Prevention edge to edge Glass,1,0,1
16,iPhone 16 Plus,Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Plus  6.7   - Black,92,41,133
17,iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  -  Black,243,87,330
18,iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Blue,252,77,329
19,iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1  Compatible with Apple iPhone 16   iPhone 16 Plus  - Green,299,70,369
20,iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Pink,111,31,142
21,iPhone 16 Plus,Gripp FOCAL Camera Lens Protector 2N1 Compatible with Apple iPhone 16   iPhone 16 Plus  - Silver,189,48,237
22,iPhone 16 Plus,Gripp Tempered Glass 0.3mm  for Apple iPhone 16 Plus  6.7   - Clear,0,1,1
23,iPhone 16 Plus,Robocare iPhone 16 Plus TEMPERED GLASS 3D Dust Prevention edge to edge Glass,0,1,1
24,iPhone 16 Pro,Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Pro  6.3   - Black,68,63,131
25,iPhone 16 Pro,Gripp Tempered Glass 0.3mm  for Apple iPhone 16 PRO  6.3   - Clear,3,0,3
26,iPhone 16 Pro,Robocare iPhone 16 Pro TEMPERED GLASS 3D Dust Prevention edge to edge Glass,1,2,3
27,iPhone 16 Pro Max,Gripp Dust Proof 3D Tempered Glass for Apple iPhone 16 Pro Max  6.9   - Black,179,200,379
28,iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Gold,530,458,988
29,iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Natural Titanium,351,239,590
30,iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1  Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Silver,210,207,417
31,iPhone 16 Pro Max,Gripp FOCAL Camera Lens Protector 3N1 Compatible with Apple iPhone 16 Pro   iPhone 16 Pro Max  - Black,275,251,526
32,iPhone 16 Pro Max,Gripp Tempered Glass 0.3mm  for Apple iPhone 16 Pro Max  6.9   - Clear,1,0,1
33,iPhone 16 Pro Max,Robocare iPhone 16 Pro Max TEMPERED GLASS 3D Dust Prevention edge to edge Glass,6,6,12
