lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
AirPods,AirPods Standard,Cable,USB-C to Lightning Cable  1m ,4625,0.11758574225205298,1
AirPods,AirPods Pro,Cable,USB-C to Lightning Cable  1m ,4032,0.10440997488152887,1
AirPods,AirPods Standard,Charger/Adapter,20W USB-C Power Adapter,3762,0.09564487834642667,1
AirPods,AirPods Pro,Charger/Adapter,20W USB-C Power Adapter,3611,0.09350804050029779,1
AirPods,AirPods Max,Charger/Adapter,20W USB-C Power Adapter,144,0.09326424870466321,1
AirPods,AirPods Max,Cable,USB-C to Lightning Cable  1m ,142,0.09196891191709844,1
AirPods,AirPods Max,Other,Apple EarPods with Lightning Connector,98,0.06347150259067358,1
AirPods,AirPods Pro,Other,Apple EarPods with Lightning Connector,2087,0.05404355594686278,1
AirPods,AirPods Standard,Other,EarPods  USB-C ,2070,0.05262756464037831,1
AirPods,AirPods Standard,Other,Apple EarPods with Lightning Connector,2067,0.052551292807566166,1
AirPods,AirPods Standard,Cable,Lightning to USB Cable  1m ,1975,0.05021228993466046,1
AirPods,AirPods Pro,Other,EarPods  USB-C ,1840,0.047647409172126266,1
AirPods,AirPods Pro,Cable,Lightning to USB Cable  1m ,1785,0.04622316596317684,1
AirPods,AirPods Max,Other,EarPods  USB-C ,69,0.044689119170984455,1
AirPods,AirPods Standard,Cable,USB-C CHARGE CABLE  1M -ZML,1599,0.04065288688887194,1
AirPods,AirPods Max,Cable,Lightning to USB Cable  1m ,55,0.03562176165803109,1
AirPods,AirPods Standard,Charger/Adapter,PULSE 30W Single port Adapter,1204,0.030610428901939848,1
AirPods,AirPods Pro,Cable,USB-C CHARGE CABLE  1M -ZML,1142,0.029572468084004454,1
AirPods,AirPods Pro,Charger/Adapter,PULSE 30W Single port Adapter,910,0.023564751275345054,1
AirPods,AirPods Standard,Cable,240W USB-C Charge Cable  2 m ,898,0.022830701955101316,1
AirPods,AirPods Max,Charger/Adapter,30W USB-C Power Adapter,31,0.020077720207253884,1
AirPods,AirPods Max,Cable,USB-C CHARGE CABLE  1M -ZML,31,0.020077720207253884,1
AirPods,AirPods Pro,Cable,240W USB-C Charge Cable  2 m ,772,0.019991195587435586,1
AirPods,AirPods Pro,Charger/Adapter,30W USB-C Power Adapter,744,0.01926612631742497,1
AirPods,AirPods Standard,Other,AirTag  1 Pack ,740,0.018813718760328477,1
AirPods,AirPods Max,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,29,0.01878238341968912,1
AirPods,AirPods Standard,Other,PULSE ultra slim 5000mAh Magnetic power bank,714,0.018152696209289908,1
AirPods,AirPods Standard,Charger/Adapter,30W USB-C Power Adapter,680,0.017288282104085628,1
AirPods,AirPods Max,Cable,240W USB-C Charge Cable  2 m ,26,0.01683937823834197,1
AirPods,AirPods Standard,Other,TEKNE Spotfree Cleaning Spray,662,0.016830651107212772,1
