lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPad,iPad Air,Apple Pencil,Apple Pencil Pro,4508,0.18516388729154687,1
iPad,iPad Pro,Apple Pencil,Apple Pencil Pro,2969,0.14004056412433374,1
iPad,iPad Mini,Cable,USB-C to Lightning Cable  1m ,259,0.11359649122807018,1
iPad,iPad Standard,Apple Pencil,APPLE PENCIL  USB-C ,1859,0.09505061867266591,1
iPad,iPad Mini,Charger/Adapter,20W USB-C Power Adapter,208,0.0912280701754386,1
iPad,iPad Standard,Cable,USB-C to Lightning Cable  1m ,1609,0.0822681255752122,1
iPad,iPad Pro,Cable,USB-C to Lightning Cable  1m ,1699,0.08013772935238904,1
iPad,iPad Air,Cable,USB-C to Lightning Cable  1m ,1812,0.07442701059722337,1
iPad,iPad Standard,Charger/Adapter,20W USB-C Power Adapter,1372,0.07015032211882606,1
iPad,iPad Pro,Charger/Adapter,20W USB-C Power Adapter,1441,0.06796849205226169,1
iPad,iPad Air,Charger/Adapter,20W USB-C Power Adapter,1389,0.05705249322270599,1
iPad,iPad Mini,Other,EarPods  USB-C ,119,0.052192982456140354,1
iPad,iPad Mini,Cable,Lightning to USB Cable  1m ,114,0.05,1
iPad,iPad Mini,Other,Apple EarPods with Lightning Connector,114,0.05,1
iPad,iPad Standard,Other,Apple EarPods with Lightning Connector,921,0.047090704571019534,1
iPad,iPad Mini,Apple Pencil,Apple Pencil Pro,103,0.04517543859649123,1
iPad,iPad Standard,Other,EarPods  USB-C ,839,0.04289804683505471,1
iPad,iPad Mini,Cable,USB-C CHARGE CABLE  1M -ZML,91,0.039912280701754385,1
iPad,iPad Pro,Other,Apple EarPods with Lightning Connector,841,0.0396679401915004,1
iPad,iPad Pro,Other,EarPods  USB-C ,833,0.03929059950002358,1
iPad,iPad Air,Other,EarPods  USB-C ,927,0.03807606999096361,1
iPad,iPad Pro,Cable,Lightning to USB Cable  1m ,757,0.03570586293099382,1
iPad,iPad Standard,Cable,Lightning to USB Cable  1m ,694,0.03548420083853155,1
iPad,iPad Air,Other,Apple EarPods with Lightning Connector,855,0.03511870533147129,1
iPad,iPad Air,Cable,Lightning to USB Cable  1m ,801,0.03290068183685205,1
iPad,iPad Mini,Charger/Adapter,PULSE 30W Single port Adapter,69,0.030263157894736843,1
iPad,iPad Air,Other,TEKNE Spotfree Cleaning Spray,615,0.025260823133163558,1
iPad,iPad Pro,Other,TEKNE Spotfree Cleaning Spray,516,0.024338474600254706,1
iPad,iPad Pro,Cable,USB-C CHARGE CABLE  1M -ZML,496,0.023395122871562663,1
iPad,iPad Air,Cable,USB-C CHARGE CABLE  1M -ZML,550,0.02259098003778855,1
iPad,iPad Standard,Apple Pencil,Apple Pencil Pro,425,0.021730238265671338,1
iPad,iPad Mini,Cable,240W USB-C Charge Cable  2 m ,49,0.02149122807017544,1
iPad,iPad Standard,Cable,USB-C CHARGE CABLE  1M -ZML,400,0.020451988955925964,1
iPad,iPad Mini,Other,AirTag  1 Pack ,44,0.01929824561403509,1
iPad,iPad Pro,Apple Pencil,Apple Pencil  2nd Generation ,399,0.018819866987406255,1
iPad,iPad Pro,Charger/Adapter,PULSE 30W Single port Adapter,387,0.01825385595019103,1
iPad,iPad Mini,Other,TEKNE Spotfree Cleaning Spray,40,0.017543859649122806,1
iPad,iPad Mini,Other,PULSE ultra slim 5000mAh Magnetic power bank,40,0.017543859649122806,1
iPad,iPad Standard,Other,TEKNE Spotfree Cleaning Spray,339,0.017333060640147255,1
iPad,iPad Air,Charger/Adapter,PULSE 30W Single port Adapter,419,0.01721021933787891,1
iPad,iPad Mini,Charger/Adapter,30W USB-C Power Adapter,37,0.016228070175438595,1
iPad,iPad Air,Apple Pencil,APPLE PENCIL  USB-C ,393,0.016142282099728907,1
iPad,iPad Standard,Cable,240W USB-C Charge Cable  2 m ,303,0.015492381634113917,1
iPad,iPad Standard,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Blue,293,0.01498108191021577,1
iPad,iPad Pro,Cable,240W USB-C Charge Cable  2 m ,316,0.014904957313334277,1
iPad,iPad Air,Cable,240W USB-C Charge Cable  2 m ,331,0.013595662531832744,1
iPad,iPad Pro,Other,AirTag  1 Pack ,285,0.01344276213386161,1
iPad,iPad Standard,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Black,255,0.013038142959402801,1
iPad,iPad Mini,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,29,0.012719298245614035,1
iPad,iPad Standard,Charger/Adapter,30W USB-C Power Adapter,244,0.012475713263114838,1
iPad,iPad Air,Other,AirTag  1 Pack ,303,0.01244557627536351,1
iPad,iPad Standard,Charger/Adapter,PULSE 30W Single port Adapter,243,0.012424583290725023,1
iPad,iPad Standard,Other,AirTag  1 Pack ,231,0.011811023622047244,1
iPad,iPad Pro,Charger/Adapter,30W USB-C Power Adapter,244,0.011508891090042923,1
iPad,iPad Air,Other,PULSE ultra slim 5000mAh Magnetic power bank,276,0.01133656452805389,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024    Black,267,0.01096689394561735,1
iPad,iPad Pro,Other,PULSE ultra slim 5000mAh Magnetic power bank,229,0.01080137729352389,1
iPad,iPad Air,Charger/Adapter,30W USB-C Power Adapter,249,0.01022755278074427,1
iPad,iPad Standard,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,199,0.010174864505573167,1
iPad,iPad Pro,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,213,0.010046695910570256,1
iPad,iPad Standard,Case,Gripp Melon Case for Apple iPad 10.9 (10th Generation) 2022 - Grey/Black,192,0.009816954698844462,1
iPad,iPad Standard,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,190,0.009714694754064833,1
iPad,iPad Mini,Case,Gripp Ultra Case for Apple iPad Mini 7 - Black,22,0.009649122807017544,1
iPad,iPad Standard,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,188,0.009612434809285203,1
iPad,iPad Standard,Other,PULSE ultra slim 5000mAh Magnetic power bank,175,0.00894774516821761,1
iPad,iPad Pro,Case,TEKNE Shockproof vegan leather case with stand function for iPad Pro 11  M4 -Black,189,0.008914673836139805,1
iPad,iPad Mini,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,20,0.008771929824561403,1
iPad,iPad Standard,Apple Pencil,Apple Pencil  2nd Generation ,168,0.008589835361488905,1
iPad,iPad Air,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,206,0.008461348886880802,1
iPad,iPad Pro,Case,Gripp Ultra Case for Apple iPad Pro 11  2024    Black,179,0.008442997971793783,1
iPad,iPad Mini,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,19,0.008333333333333333,1
iPad,iPad Mini,Charger/Adapter,35W Dual USB-C Power Adapter,18,0.007894736842105263,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 13  2024    Black,192,0.007886305758646184,1
iPad,iPad Pro,Case,TEKNE Shockproof vegan leather case with stand function for iPad pro 13  M4 -Black,167,0.007876986934578558,1
iPad,iPad Mini,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,17,0.007456140350877193,1
iPad,iPad Standard,Charger/Adapter,PULSE PD20W wall charger - white,140,0.0071581961345740875,1
iPad,iPad Pro,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,147,0.006933635205886515,1
iPad,iPad Air,Apple Pencil,Apple Pencil  2nd Generation ,168,0.006900517538815411,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024    Grey,166,0.00681836852049618,1
iPad,iPad Pro,Charger/Adapter,35W Dual USB-C Power Adapter,144,0.0067921324465827085,1
iPad,iPad Mini,Charger/Adapter,MagSafe Charger  1 m ,15,0.006578947368421052,1
iPad,iPad Mini,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,15,0.006578947368421052,1
iPad,iPad Pro,Apple Pencil,APPLE PENCIL  USB-C ,136,0.006414791755105891,1
iPad,iPad Air,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,153,0.006284399901421178,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad Air 13  M2 -Black,152,0.006243325392261563,1
iPad,iPad Air,Charger/Adapter,PULSE PD20W wall charger - white,152,0.006243325392261563,1
iPad,iPad Standard,Case,Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Black,121,0.006186726659167604,1
iPad,iPad Pro,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,131,0.006178953822932881,1
iPad,iPad Standard,Charger/Adapter,35W Dual USB-C Power Adapter,120,0.006135596686777789,1
iPad,iPad Standard,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,120,0.006135596686777789,1
iPad,iPad Pro,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,129,0.0060846186500636765,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Black,147,0.0060379528464634845,1
iPad,iPad Standard,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,118,0.006033336741998159,1
iPad,iPad Pro,Case,Gripp Ultra Case for Apple iPad Pro 13  2024    Black,127,0.005990283477194472,1
iPad,iPad Pro,Charger/Adapter,PULSE PD20W wall charger - white,127,0.005990283477194472,1
iPad,iPad Air,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,141,0.005791505791505791,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad Air 13  M2 -Grey,136,0.005586133245707714,1
iPad,iPad Air,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,135,0.005545058736548098,1
iPad,iPad Pro,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,113,0.005329937267110042,1
iPad,iPad Standard,Case,Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Grey,104,0.005317517128540751,1
iPad,iPad Mini,Apple Pencil,APPLE PENCIL  USB-C ,12,0.005263157894736842,1
iPad,iPad Mini,Charger/Adapter,70W USB-C Power Adapter,12,0.005263157894736842,1
iPad,iPad Mini,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,12,0.005263157894736842,1
iPad,iPad Mini,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,12,0.005263157894736842,1
iPad,iPad Standard,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,101,0.005164127211371306,1
iPad,iPad Air,Charger/Adapter,35W Dual USB-C Power Adapter,124,0.005093239135792327,1
iPad,iPad Air,Case,Gripp Melon Case for Apple iPad Air 11  2024    Grey Black,123,0.0050521646266327115,1
iPad,iPad Pro,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,103,0.004858261402764021,1
iPad,iPad Mini,Apple Pencil,Apple Pencil  2nd Generation ,11,0.004824561403508772,1
iPad,iPad Mini,Cable,Powerup QuadMax 4IN1 66W Zinc Alloy 1.2m Cable,11,0.004824561403508772,1
iPad,iPad Air,Case,Gripp Melon Case for Apple iPad Air 11  2024  - Dark Blue,113,0.004641419535036557,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024  - Light Green,112,0.004600345025876941,1
iPad,iPad Pro,Case,TEKNE Shockproof vegan leather case with stand function for iPad pro 13  M4 -Grey,95,0.004480920711287204,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Blue,109,0.004477121498398094,1
iPad,iPad Mini,Case,iPhone 16 Pro Max Clear Case with MagSafe,10,0.0043859649122807015,1
iPad,iPad Mini,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,10,0.0043859649122807015,1
iPad,iPad Mini,Cable,USB-C to Lightning Cable  2 m ,10,0.0043859649122807015,1
iPad,iPad Standard,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,85,0.004346047653134268,1
iPad,iPad Air,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,105,0.004312823461759632,1
iPad,iPad Standard,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,84,0.004294917680744453,1
iPad,iPad Pro,Case,Gripp Melon Case for Apple iPad Pro 11  2024  - Dark Blue,91,0.004292250365548795,1
iPad,iPad Standard,Charger/Adapter,70W USB-C Power Adapter,82,0.004192657735964823,1
iPad,iPad Air,Case,Gripp Armor Case for Apple iPad Air 11  2024    Black,100,0.004107450915961554,1
iPad,iPad Pro,Charger/Adapter,MagSafe Charger  1 m ,87,0.004103580019810386,1
iPad,iPad Pro,Charger/Adapter,70W USB-C Power Adapter,87,0.004103580019810386,1
iPad,iPad Standard,Cable,Pulse 1.2m  Sillicone lighting cable,80,0.004090397791185193,1
iPad,iPad Standard,Other,Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning,80,0.004090397791185193,1
iPad,iPad Pro,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,86,0.004056412433375784,1
iPad,iPad Standard,Apple Pencil,Apple Pencil  1st Generation ,78,0.003988137846405563,1
iPad,iPad Air,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,96,0.003943152879323092,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024  - Purple,95,0.0039020783701634765,1
iPad,iPad Air,Charger/Adapter,MagSafe Charger  1 m ,95,0.0039020783701634765,1
iPad,iPad Standard,Cable,TRANSPARENT HOUSING C TO C PD 100W DIGIT CABLE WITHWHITEÂ ,76,0.003885877901625933,1
iPad,iPad Standard,Cable,Apple USB-C to Lightning Cable (1 m),75,0.003834747929236118,1
iPad,iPad Standard,Cable,TEKNE 240W USB4 Braided Cable,75,0.003834747929236118,1
iPad,iPad Air,Case,Gripp STYLEUS Case for Apple iPad Air 11  2024    Lavender,92,0.00377885484268463,1
iPad,iPad Standard,Charger/Adapter,MagSafe Charger  1 m ,73,0.0037324879844564886,1
iPad,iPad Pro,Case,Gripp Ultra Case for Apple iPad Pro 13  2024  - Grey,79,0.003726239328333569,1
iPad,iPad Pro,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,79,0.003726239328333569,1
iPad,iPad Standard,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,69,0.0035279680948972288,1
iPad,iPad Mini,Charger/Adapter,PULSE PD20W wall charger - white,8,0.0035087719298245615,1
iPad,iPad Mini,Other,Pulse 30W 10 000mAH Powerbank with TFT Display,8,0.0035087719298245615,1
iPad,iPad Mini,Case,Tekne ARMOUR Case for iPhone 16 Pro-Black,8,0.0035087719298245615,1
iPad,iPad Mini,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,8,0.0035087719298245615,1
iPad,iPad Mini,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,8,0.0035087719298245615,1
iPad,iPad Mini,Case,iPhone 16 Pro Clear Case with MagSafe,8,0.0035087719298245615,1
iPad,iPad Mini,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,8,0.0035087719298245615,1
iPad,iPad Mini,Other,Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning,8,0.0035087719298245615,1
iPad,iPad Mini,Other,Apple AirTag  4 Pack ,8,0.0035087719298245615,1
