lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPhone,iPhone 15 Plus,Charger/Adapter,20W USB-C Power Adapter,2284,0.26090929860635137,2
iPhone,iPhone 15,Charger/Adapter,20W USB-C Power Adapter,7323,0.22788946287421422,2
iPhone,iPhone 16,Charger/Adapter,20W USB-C Power Adapter,6210,0.14898517345616813,1
iPhone,iPhone 15 Pro,Charger/Adapter,20W USB-C Power Adapter,420,0.13861386138613863,1
iPhone,iPhone 15,Charger/Adapter,PULSE PD20W wall charger - white,3712,0.11551627559594199,1
iPhone,iPhone 16 Pro,Charger/Adapter,20W USB-C Power Adapter,2307,0.11054674397431598,1
iPhone,iPhone 15 Plus,Charger/Adapter,PULSE PD20W wall charger - white,952,0.10875028558373315,1
iPhone,iPhone 16 Plus,Charger/Adapter,20W USB-C Power Adapter,3003,0.10854086095348249,1
iPhone,iPhone 16 Plus,Charger/Adapter,PULSE 30W Single port Adapter,2898,0.10474572595510898,1
iPhone,iPhone Other,Charger/Adapter,20W USB-C Power Adapter,23638,0.09836665903747321,1
iPhone,iPhone 16 Pro,Charger/Adapter,PULSE 30W Single port Adapter,2036,0.0975609756097561,1
iPhone,iPhone 15 Pro Max,Charger/Adapter,20W USB-C Power Adapter,2279,0.09735571788628306,1
iPhone,iPhone 16,Charger/Adapter,PULSE 30W Single port Adapter,3620,0.08684803992130896,1
iPhone,iPhone Other,Cable,USB-C to Lightning Cable  1m ,19820,0.08247851688479224,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,20W USB-C Power Adapter,3178,0.08220382824624935,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,PULSE 30W Single port Adapter,3112,0.08049663735126746,1
iPhone,iPhone 15 Pro Max,Cable,USB-C to Lightning Cable  1m ,1838,0.07851680977401854,1
iPhone,iPhone 15 Pro,Charger/Adapter,PULSE PD20W wall charger - white,224,0.07392739273927393,1
iPhone,iPhone 16 Pro Max,Cable,USB-C to Lightning Cable  1m ,2615,0.06764097258147957,1
iPhone,iPhone 16 Plus,Cable,USB-C to Lightning Cable  1m ,1597,0.05772219611811906,1
iPhone,iPhone 16,Cable,USB-C to Lightning Cable  1m ,2327,0.05582745549637733,1
iPhone,iPhone 16 Pro,Charger/Adapter,30W USB-C Power Adapter,1067,0.0511284680626767,1
iPhone,iPhone 15 Pro Max,Other,Apple EarPods with Lightning Connector,1179,0.050365244136870435,1
iPhone,iPhone 16 Pro,Other,TEKNE Spotfree Cleaning Spray,1028,0.04925966744932675,1
iPhone,iPhone 15 Plus,Case,Gripp Clear MagSafe Case for Apple iPhone 15 Max  6.7  with White Ring - Clear,419,0.047863833676033814,1
iPhone,iPhone Other,Charger/Adapter,PULSE 30W Single port Adapter,11443,0.04761865129730967,1
