lob,core_product,accessory_rank,accessory_category,accessory_name,purchase_count,attach_rate
Mac,MacBook Pro,1,Other,TEKNE Spotfree Cleaning Spray,343,0.001164033733222473
Mac,MacBook Pro,2,Other,Pulse Magnetic privacy filter for MacBook Pro 14.2 inch M1 M2 2021  2023 ,103,0.00034954948840208375
Mac,MacBook Pro,3,Other,TEKNE essential USB-C Hub,85,0.00028846317004055453
Mac,MacBook Pro,4,Other,Pulse Magnetic privacy filter for MacBook Pro 16.2 inch 2021  M1 M2 2021- 2023 ,69,0.0002341642203858619
Mac,MacBook Pro,5,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,64,0.00021719579861877048
Mac,MacBook Air,1,Other,TEKNE Spotfree Cleaning Spray,1015,0.003444589618719563
Mac,MacBook Air,2,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,539,0.0018291958664924575
Mac,MacBook Air,3,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),377,0.0012794190012386949
Mac,MacBook Air,4,Other,TEKNE essential USB-C Hub,364,0.001235301104644257
Mac,MacBook Air,5,Cable,USB-C to Lightning Cable  1m ,259,0.0008789642475353367
Mac,Mac Mini,1,Cable,USB-C to Lightning Cable  1m ,261,0.0008857516162421733
Mac,Mac Mini,2,Charger/Adapter,20W USB-C Power Adapter,211,0.0007160673985712589
Mac,Mac Mini,3,Other,EarPods  USB-C ,119,0.00040384843805677635
Mac,Mac Mini,4,Other,Apple EarPods with Lightning Connector,116,0.0003936673849965215
Mac,Mac Mini,5,Cable,Lightning to USB Cable  1m ,114,0.0003868800162896849
Mac,iMac,1,Other,TEKNE Spotfree Cleaning Spray,45,0.00015271579590382298
Mac,iMac,2,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),28,9.502316189571207e-05
Mac,iMac,3,Other,TEKNE essential USB-C Hub,23,7.805474012862063e-05
Mac,iMac,4,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,15,5.090526530127433e-05
Mac,iMac,5,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,13,4.411789659443775e-05
Mac,Mac Other,1,Keyboard,Magic Keyboard USB-C,4,1.3574737413673155e-05
Mac,Mac Other,2,Mouse/Trackpad,Magic Mouse White -  USB-C ,4,1.3574737413673155e-05
Mac,Mac Other,3,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,4,1.3574737413673155e-05
Mac,Mac Other,4,Other,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand,3,1.0181053060254866e-05
Mac,Mac Other,5,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),3,1.0181053060254866e-05
