lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPad,iPad Air,Apple Pencil,Apple Pencil Pro,4508,0.1851638872915468,1
iPad,iPad Pro,Apple Pencil,Apple Pencil Pro,2969,0.1400405641243337,1
iPad,iPad Mini,Cable,USB-C to Lightning Cable  1m ,259,0.1135964912280701,1
iPad,iPad Standard,Apple Pencil,APPLE PENCIL  USB-C ,1859,0.0950506186726659,1
iPad,iPad Mini,Charger/Adapter,20W USB-C Power Adapter,208,0.0912280701754386,1
iPad,iPad Standard,Cable,USB-C to Lightning Cable  1m ,1609,0.0822681255752122,1
iPad,iPad Pro,Cable,USB-C to Lightning Cable  1m ,1699,0.080137729352389,1
iPad,iPad Air,Cable,USB-C to Lightning Cable  1m ,1812,0.0744270105972233,1
iPad,iPad Standard,Charger/Adapter,20W USB-C Power Adapter,1372,0.070150322118826,1
iPad,iPad Pro,Charger/Adapter,20W USB-C Power Adapter,1441,0.0679684920522616,1
iPad,iPad Air,Charger/Adapter,20W USB-C Power Adapter,1389,0.0570524932227059,1
iPad,iPad Mini,Cable,Lightning to USB Cable  1m ,114,0.05,1
iPad,iPad Mini,Apple Pencil,Apple Pencil Pro,103,0.0451754385964912,1
iPad,iPad Mini,Cable,USB-C CHARGE CABLE  1M -ZML,91,0.0399122807017543,1
iPad,iPad Pro,Cable,Lightning to USB Cable  1m ,757,0.0357058629309938,1
iPad,iPad Standard,Cable,Lightning to USB Cable  1m ,694,0.0354842008385315,1
iPad,iPad Air,Cable,Lightning to USB Cable  1m ,801,0.032900681836852,1
iPad,iPad Mini,Charger/Adapter,PULSE 30W Single port Adapter,69,0.0302631578947368,1
iPad,iPad Air,Other,TEKNE Spotfree Cleaning Spray,615,0.0252608231331635,1
iPad,iPad Pro,Other,TEKNE Spotfree Cleaning Spray,516,0.0243384746002547,1
iPad,iPad Pro,Cable,USB-C CHARGE CABLE  1M -ZML,496,0.0233951228715626,1
iPad,iPad Air,Cable,USB-C CHARGE CABLE  1M -ZML,550,0.0225909800377885,1
iPad,iPad Standard,Apple Pencil,Apple Pencil Pro,425,0.0217302382656713,1
iPad,iPad Mini,Cable,240W USB-C Charge Cable  2 m ,49,0.0214912280701754,1
iPad,iPad Standard,Cable,USB-C CHARGE CABLE  1M -ZML,400,0.0204519889559259,1
iPad,iPad Mini,Other,AirTag  1 Pack ,44,0.019298245614035,1
iPad,iPad Pro,Apple Pencil,Apple Pencil  2nd Generation ,399,0.0188198669874062,1
iPad,iPad Pro,Charger/Adapter,PULSE 30W Single port Adapter,387,0.018253855950191,1
iPad,iPad Mini,Other,TEKNE Spotfree Cleaning Spray,40,0.0175438596491228,1
iPad,iPad Mini,Other,PULSE ultra slim 5000mAh Magnetic power bank,40,0.0175438596491228,1
iPad,iPad Standard,Other,TEKNE Spotfree Cleaning Spray,339,0.0173330606401472,1
iPad,iPad Air,Charger/Adapter,PULSE 30W Single port Adapter,419,0.0172102193378789,1
