lob,core_product,accessory_rank,accessory_category,accessory_name,purchase_count,attach_rate
iPhone,iPhone 15,1,Charger/Adapter,20W USB-C Power Adapter,7323,0.024851950520082128
iPhone,iPhone 15,2,Charger/Adapter,PULSE PD20W wall charger - white,3712,0.012597356319888687
iPhone,iPhone 15,3,Charger/Adapter,PULSE 30W Single port Adapter,1263,0.004286223338367298
iPhone,iPhone 15,4,Cable,USB-C to Lightning Cable  1m ,1080,0.0036651791016917516
iPhone,iPhone 15,5,Other,EarPods  USB-C ,970,0.00329187382281574
iPhone,iPhone 16 Pro,1,Charger/Adapter,20W USB-C Power Adapter,2307,0.007829229803335992
iPhone,iPhone 16 Pro,2,Charger/Adapter,PULSE 30W Single port Adapter,2036,0.0069095413435596355
iPhone,iPhone 16 Pro,3,Charger/Adapter,30W USB-C Power Adapter,1067,0.0036210612050973138
iPhone,iPhone 16 Pro,4,Other,TEKNE Spotfree Cleaning Spray,1028,0.003488707515314001
iPhone,iPhone 16 Pro,5,Cable,USB-C to Lightning Cable  1m ,782,0.0026538611643731015
iPhone,iPhone Other,1,Charger/Adapter,20W USB-C Power Adapter,23638,0.0802199107461015
iPhone,iPhone Other,2,Cable,USB-C to Lightning Cable  1m ,19820,0.06726282388475048
iPhone,iPhone Other,3,Charger/Adapter,PULSE 30W Single port Adapter,11443,0.03883393005616548
iPhone,iPhone Other,4,Other,EarPods  USB-C ,10249,0.03478187093818404
iPhone,iPhone Other,5,Other,Apple EarPods with Lightning Connector,10185,0.03456467513956527
iPhone,iPhone 16,1,Charger/Adapter,20W USB-C Power Adapter,6210,0.021074779834727574
iPhone,iPhone 16,2,Charger/Adapter,PULSE 30W Single port Adapter,3620,0.012285137359374204
iPhone,iPhone 16,3,Cable,USB-C to Lightning Cable  1m ,2327,0.007897103490404357
iPhone,iPhone 16,4,Other,EarPods  USB-C ,1666,0.005653878132794869
iPhone,iPhone 16,5,Other,TEKNE Spotfree Cleaning Spray,1606,0.0054502570715897715
iPhone,iPhone 15 Plus,1,Charger/Adapter,20W USB-C Power Adapter,2284,0.007751175063207371
iPhone,iPhone 15 Plus,2,Charger/Adapter,PULSE PD20W wall charger - white,952,0.0032307875044542108
iPhone,iPhone 15 Plus,3,Case,Gripp Clear MagSafe Case for Apple iPhone 15 Max  6.7  with White Ring - Clear,419,0.001421953744082263
iPhone,iPhone 15 Plus,4,Charger/Adapter,Pulse PD35W wall charger  indian pin,357,0.001211545314170329
iPhone,iPhone 15 Plus,5,Cable,USB-C to Lightning Cable  1m ,298,0.00101131793731865
iPhone,iPhone 16 Pro Max,1,Charger/Adapter,20W USB-C Power Adapter,3178,0.010785128875163322
iPhone,iPhone 16 Pro Max,2,Charger/Adapter,PULSE 30W Single port Adapter,3112,0.010561145707837715
iPhone,iPhone 16 Pro Max,3,Cable,USB-C to Lightning Cable  1m ,2615,0.008874484584188824
iPhone,iPhone 16 Pro Max,4,Charger/Adapter,30W USB-C Power Adapter,1765,0.00598985288378328
iPhone,iPhone 16 Pro Max,5,Other,EarPods  USB-C ,1463,0.004964960209050956
iPhone,iPhone 16 Plus,1,Charger/Adapter,20W USB-C Power Adapter,3003,0.01019123411331512
iPhone,iPhone 16 Plus,2,Charger/Adapter,PULSE 30W Single port Adapter,2898,0.0098348972562062
iPhone,iPhone 16 Plus,3,Cable,USB-C to Lightning Cable  1m ,1597,0.0054197139124090065
iPhone,iPhone 16 Plus,4,Other,EarPods  USB-C ,1059,0.0035939117302699677
iPhone,iPhone 16 Plus,5,Other,TEKNE Spotfree Cleaning Spray,1027,0.0034853138309605823
iPhone,iPhone 15 Pro Max,1,Charger/Adapter,20W USB-C Power Adapter,2279,0.00773420664144028
iPhone,iPhone 15 Pro Max,2,Cable,USB-C to Lightning Cable  1m ,1838,0.0062375918415828145
iPhone,iPhone 15 Pro Max,3,Other,Apple EarPods with Lightning Connector,1179,0.004001153852680162
iPhone,iPhone 15 Pro Max,4,Other,EarPods  USB-C ,963,0.003268118032341812
iPhone,iPhone 15 Pro Max,5,Charger/Adapter,PULSE PD20W wall charger - white,937,0.0031798822391529364
iPhone,iPhone 15 Pro,1,Charger/Adapter,20W USB-C Power Adapter,420,0.0014253474284356812
iPhone,iPhone 15 Pro,2,Charger/Adapter,PULSE PD20W wall charger - white,224,0.0007601852951656966
iPhone,iPhone 15 Pro,3,Other,Apple EarPods with Lightning Connector,106,0.00035973054146233856
iPhone,iPhone 15 Pro,4,Cable,USB-C to Lightning Cable  1m ,105,0.0003563368571089203
iPhone,iPhone 15 Pro,5,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Clear,75,0.0002545263265063716
