core_product,accessory_category,accessory_name,purchase_count,attach_rate
iPhone 15,Other,PULSE Magnetic Car mount,26,8.82357931888755e-05
iPhone 15,Case,Pulse FROSTED Case for iPhone 15-Black,333,0.0011300968896882902
iPhone 15,Charger/Adapter,PULSE 30W Single port Adapter,1263,0.004286223338367298
iPhone 15,Other,TEKNE Spotfree Cleaning Spray,513,0.0017409600733035821
iPhone 15,Case,Pulse HORNOR Case for iPhone 15-Black,336,0.001140277942748545
iPhone 15,Charger/Adapter,20W USB-C Power Adapter,7323,0.024851950520082128
iPhone 15,Case,Gripp Clear MagSafe Case for Apple iPhone 15 (6.1) with White Ring - Clear,25,8.484210883545722e-05
iPhone 15,Charger/Adapter,PULSE PD20W wall charger - white,3712,0.012597356319888687
iPhone 15,Case,Pulse HORNOR Case for iPhone 15-Blue,243,0.0008246652978806441
iPhone 15,Case,Pulse TANK Gradient Magsafe case for iPhone 15-Blue,298,0.00101131793731865
iPhone 15,Case,Pulse LIQUID silicon case for iPhone 15-Storm Blue,344,0.0011674274175758914
iPhone 15,Other,PG MSC-WRNR-ENML-DEATHLY HALLOWS-TBK TBK,3,1.0181053060254866e-05
iPhone 15,Case,Pulse TPU TPE PC shockproof case for iPhone 15-Light Blue,347,0.001177608470636146
iPhone 15,Other,EarPods  USB-C ,970,0.00329187382281574
iPhone 15,Case,Gripp ICE FROST MagSafe Case for Apple iPhone 15 Max (6.7) with White Ring - Clear Frost,63,0.00021380211426535217
iPhone 15,Case,Gripp Clear MagSafe Case for Apple iPhone 15 Max  6.7  with White Ring - Clear,104,0.000352943172755502
iPhone 15,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,223,0.0007567916108122784
iPhone 15,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,375,0.0012726316325318583
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15-Blue,296,0.0010045305686118135
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15-Black,319,0.001082585308740434
iPhone 15,Case,Pulse Clear Magsafe Case for iPhone 15-Clear,349,0.0011843958393429827
iPhone 15,Case,Pulse THOR Leather case for iPhone 15-Blue,321,0.0010893726774472707
iPhone 15,Cable,Pulse 22.5W Fast Charging Power Bank with Cable,495,0.0016798737549420528
iPhone 15,Case,Pulse Tire magsafe case for iPhone 15 Black,330,0.0011199158366280353
iPhone 15,Case,Gripp CLARION MAGSAFE Case for Apple iPhone 15 Max  6.7    Black,25,8.484210883545722e-05
iPhone 15,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,149,0.000505658968659325
iPhone 15,Case,Pulse THOR Leather case for iPhone 15-Black,322,0.001092766361800689
iPhone 15,Charger/Adapter,Pulse PD35W wall charger  indian pin,377,0.0012794190012386949
iPhone 15,Other,Apple EarPods with Lightning Connector,700,0.002375579047392802
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15-Clear,280,0.0009502316189571207
iPhone 15,Case,Pulse LIQUID silicon case for iPhone 15-Black,334,0.0011334905740417083
iPhone 15,Case,Gripp ICE FROST MagSafe Case for Apple iPhone 15 (6.1) with White Ring - Clear Frost,77,0.00026131369521320823
iPhone 15,Case,Pulse LIQUID silicon case for iPhone 15 Pro Max-Storm Blue,14,4.751158094785604e-05
iPhone 15,Other,"Tucano Second Skin sleeve designed especially for 13.3"" and 14"" notebooks - Pink - Red",2,6.787368706836577e-06
iPhone 15,Charger/Adapter,60W DUAL USB-C FAST CARCHARGER Black,39,0.00013235368978331324
iPhone 15,Cable,Pulse Cable,13,4.411789659443775e-05
iPhone 15,Other,TEKNE Gadget Organiser- Olive Green,55,0.00018665263943800587
iPhone 15,Charger/Adapter,PULSE 3in1 Travel Wireless charger,23,7.805474012862063e-05
iPhone 15,Cable,TRANSPARENT HOUSING C TO C PD 100W DIGIT CABLE WITHWHITEÂ ,136,0.00046154107206488725
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15-Black,345,0.0011708211019293095
iPhone 15,Case,Pulse Armor Magsafe case for iPhone 15 Black,333,0.0011300968896882902
iPhone 15,Case,Pulse TPU TPE PC shockproof case for iPhone 15-Black,361,0.0012251200515840022
iPhone 15,Case,HYPHEN DURO Drop Case - iPhone 15 - 6.1 10ft Drop-Tested Case,12,4.072421224101946e-05
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Clear,19,6.448000271494748e-05
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15-Grey,342,0.0011606400488690547
iPhone 15,Case,Gripp Clear MagSafe Case for Apple iPhone 15  6.1  with White Ring - Clear,43,0.00014592842719698642
iPhone 15,Case,Gripp Clear Case for Apple iPhone 15 (6.1) - Clear,75,0.0002545263265063716
iPhone 15,Charger/Adapter,Lightning to 3.5 mm Headphone Jack Adapter,63,0.00021380211426535217
iPhone 15,Case,Apple Watch SE GPS 40mm Starlight Aluminium Case with Starlight Sport Band - S/M,22,7.466105577520235e-05
iPhone 15,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,91,0.00030882527616106427
iPhone 15,Case,PULSE ARMOUR Case for iPhone 16-Black,5,1.6968421767091444e-05
iPhone 15,Charger/Adapter,PULSE 65W dual USBC GAN PD adapter - White,115,0.00039027370064310317
iPhone 15,Case,Gripp Melon Case for Apple iPad Pro 11 2022 - Dark Blue,1,3.3936843534182887e-06
iPhone 15,Apple Pencil,Apple Pencil Pro,116,0.0003936673849965215
iPhone 15,Case,Gripp ICE FROST Case for Apple iPhone 15 (6.1) - Clear Frost,11,3.7330527887601175e-05
iPhone 15,Case,Pulse Newton Magsafe Case for iPhone 15 Pro Max-Grey,23,7.805474012862063e-05
iPhone 15,Case,Gripp Bolt Case for Apple iPhone 14 Max  6.7  with MagSafe - Blue,1,3.3936843534182887e-06
iPhone 15,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,38,0.00012896000542989496
iPhone 15,Other,NOERDEN BIMI White,17,5.7692634008110906e-05
iPhone 15,Case,Gripp NEO MagSafe Case for Apple iPhone 15 Max (6.7) - Smoke,30,0.00010181053060254866
iPhone 15,Case,Gripp CLARION MAGSAFE Case for Apple iPhone 15 (6.1) - Black,62,0.0002104084299119339
iPhone 15,Charger/Adapter,PULSE 3 IN 1 Magsafe charger - White,254,0.0008619958257682453
iPhone 15,Other,PULSE ultra slim 5000mAh Magnetic power bank,180,0.0006108631836152919
iPhone 15,Case,HYPHEN DURO MagSafe Drop Case - iPhone 15 - 6.1 10ft Drop-Tested Case,23,7.805474012862063e-05
iPhone 15,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),57,0.00019344000814484246
iPhone 15,Case,HYPHEN AIRE MagSafe Clear Case - iPhone 15 - 6.1 10ft Drop-Tested Case,31,0.00010520421495596694
iPhone 15,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,33,0.00011199158366280352
iPhone 15,Case,RIVACASE 8221 black Laptop bag 13 3 / 6,27,9.16294775422938e-05
iPhone 15,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,39,0.00013235368978331324
iPhone 15,Case,Pulse Armor Magsafe case for iPhone 15 Pro Black,29,9.841684624913037e-05
iPhone 15,Case,Pulse FROSTED Case for iPhone 15 Pro Max-Black,9,3.05431591807646e-05
iPhone 15,Cable,USB-C to Lightning Cable  1m ,1080,0.0036651791016917516
iPhone 15,Case,Gripp Clear MagSafe Case for Apple iPhone 15 Pro Max (6.7) with White Ring - Clear,1,3.3936843534182887e-06
iPhone 15,Case,Pulse Tire magsafe case for iPhone 15 Pro Black,22,7.466105577520235e-05
iPhone 15,Case,Gripp Combat Case for Apple iPhone 15 (6.1) - Smoke,10,3.393684353418289e-05
iPhone 15,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,87,0.0002952505387473911
iPhone 15,Case,Gripp STELLAR MagSafe Case for Apple iPhone 16  6.1  - Transparent,2,6.787368706836577e-06
iPhone 15,Case,Apple Watch Series 9 GPS 45mm Midnight Aluminium Case with Midnight Sport Band - S/M  Demo ,2,6.787368706836577e-06
iPhone 15,Cable,USB-C CHARGE CABLE  1M -ZML,228,0.0007737600325793698
iPhone 15,Case,IPHONE 15 CL CASE-ZML,29,9.841684624913037e-05
iPhone 15,Case,Gripp Vintage Magsafe Case for Apple iPhone 15 Max (6.7) - Black,10,3.393684353418289e-05
iPhone 15,Case,IPHONE 15 SI CASE ORANGE SORBET-ZML,4,1.3574737413673155e-05
iPhone 15,Other,13-inch MBA M2 chip 8-core CPU and 10-core GPU/512GB - Midnight,1,3.3936843534182887e-06
iPhone 15,Charger/Adapter,30W USB-C Power Adapter,246,0.0008348463509408989
iPhone 15,Other,PG MSC-CLEAR-CLR CLR,3,1.0181053060254866e-05
iPhone 15,Case,Apple Watch Series 9 GPS 41mm Midnight Aluminium Case with Midnight Sport Band - S/M,12,4.072421224101946e-05
iPhone 15,Case,Gripp Combat Magsafe Case for Apple iPhone 15 (6.1) - Clear,5,1.6968421767091444e-05
iPhone 15,Case,HYPHEN AIRE Clear Soft Case - iPhone 15 - 6.1,4,1.3574737413673155e-05
iPhone 15,Cable,Lightning to USB Cable  1m ,552,0.0018733137630868953
iPhone 15,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,115,0.00039027370064310317
iPhone 15,Case,Gripp Combat Magsafe Case for Apple iPhone 15 (6.1) - Smoke,10,3.393684353418289e-05
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Black,41,0.00013914105849014983
iPhone 15,Case,Gripp NEO MagSafe Case for Apple iPhone 15 (6.1) - Smoke,12,4.072421224101946e-05
iPhone 15,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,47,0.00015950316461065957
iPhone 15,Other,PULSE 10000mah Magsafe power bank - White,11,3.7330527887601175e-05
iPhone 15,Charger/Adapter,35W Dual USB-C Power Adapter,81,0.00027488843262688136
iPhone 15,Case,IPHONE 15 SI CASE STORM BLUE-ZML,9,3.05431591807646e-05
iPhone 15,Case,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15 Max- Black,15,5.090526530127433e-05
iPhone 15,Watch Band,Gripp 42/44/45mm REVERSER watch strap - Grey/Black,15,5.090526530127433e-05
iPhone 15,Case,IPHONE 15 FINEWOVEN CASE BLACK-ZML,30,0.00010181053060254866
iPhone 15,Cable,TEKNE 240W USB4 Braided Cable,11,3.7330527887601175e-05
iPhone 15,Case,Gripp NEO XTREME Magsafe Case for Apple iPhone 15 (6.1) - Clear,10,3.393684353418289e-05
iPhone 15,Case,Gripp Alpine Case for Apple iPhone 15(6.1) - Black,5,1.6968421767091444e-05
