lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPhone,iPhone 15 Plus,Charger/Adapter,20W USB-C Power Adapter,2284,0.2609092986063513,2
iPhone,iPhone 15,Charger/Adapter,20W USB-C Power Adapter,7323,0.2278894628742142,2
iPhone,iPhone 16,Charger/Adapter,20W USB-C Power Adapter,6210,0.1489851734561681,1
iPhone,iPhone 15 Pro,Charger/Adapter,20W USB-C Power Adapter,420,0.1386138613861386,1
iPhone,iPhone 15,Charger/Adapter,PULSE PD20W wall charger - white,3712,0.1155162755959419,1
iPhone,iPhone 16 Pro,Charger/Adapter,20W USB-C Power Adapter,2307,0.1105467439743159,1
iPhone,iPhone 15 Plus,Charger/Adapter,PULSE PD20W wall charger - white,952,0.1087502855837331,1
iPhone,iPhone 16 Plus,Charger/Adapter,20W USB-C Power Adapter,3003,0.1085408609534824,1
iPhone,iPhone 16 Plus,Charger/Adapter,PULSE 30W Single port Adapter,2898,0.1047457259551089,1
iPhone,iPhone Other,Charger/Adapter,20W USB-C Power Adapter,23638,0.0983666590374732,1
iPhone,iPhone 16 Pro,Charger/Adapter,PULSE 30W Single port Adapter,2036,0.0975609756097561,1
iPhone,iPhone 15 Pro Max,Charger/Adapter,20W USB-C Power Adapter,2279,0.097355717886283,1
iPhone,iPhone 16,Charger/Adapter,PULSE 30W Single port Adapter,3620,0.0868480399213089,1
iPhone,iPhone Other,Cable,USB-C to Lightning Cable  1m ,19820,0.0824785168847922,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,20W USB-C Power Adapter,3178,0.0822038282462493,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,PULSE 30W Single port Adapter,3112,0.0804966373512674,1
iPhone,iPhone 15 Pro Max,Cable,USB-C to Lightning Cable  1m ,1838,0.0785168097740185,1
iPhone,iPhone 15 Pro,Charger/Adapter,PULSE PD20W wall charger - white,224,0.0739273927392739,1
iPhone,iPhone 16 Pro Max,Cable,USB-C to Lightning Cable  1m ,2615,0.0676409725814795,1
iPhone,iPhone 16 Plus,Cable,USB-C to Lightning Cable  1m ,1597,0.057722196118119,1
iPhone,iPhone 16,Cable,USB-C to Lightning Cable  1m ,2327,0.0558274554963773,1
iPhone,iPhone 16 Pro,Charger/Adapter,30W USB-C Power Adapter,1067,0.0511284680626767,1
iPhone,iPhone 16 Pro,Other,TEKNE Spotfree Cleaning Spray,1028,0.0492596674493267,1
iPhone,iPhone Other,Charger/Adapter,PULSE 30W Single port Adapter,11443,0.0476186512973096,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,30W USB-C Power Adapter,1765,0.0456544231764097,1
iPhone,iPhone 15 Plus,Charger/Adapter,Pulse PD35W wall charger  indian pin,357,0.0407813570938999,1
iPhone,iPhone 15 Pro Max,Charger/Adapter,PULSE PD20W wall charger - white,937,0.0400273399119996,1
iPhone,iPhone 15 Pro Max,Cable,Lightning to USB Cable  1m ,936,0.0399846212995001,1
iPhone,iPhone 15,Charger/Adapter,PULSE 30W Single port Adapter,1263,0.0393041638140287,1
iPhone,iPhone 16,Other,TEKNE Spotfree Cleaning Spray,1606,0.0385298210258624,1
iPhone,iPhone 16 Pro,Cable,USB-C to Lightning Cable  1m ,782,0.0374718481958886,1
iPhone,iPhone 16 Plus,Other,TEKNE Spotfree Cleaning Spray,1027,0.0371200346983771,1
iPhone,iPhone Other,Cable,Lightning to USB Cable  1m ,8853,0.0368406816337571,1
iPhone,iPhone 15 Pro,Cable,USB-C to Lightning Cable  1m ,105,0.0346534653465346,1
iPhone,iPhone 16 Pro,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,721,0.0345488523647515,1
iPhone,iPhone 15 Plus,Cable,USB-C to Lightning Cable  1m ,298,0.0340415809915467,1
iPhone,iPhone 15,Cable,USB-C to Lightning Cable  1m ,1080,0.0336092612186469,1
iPhone,iPhone 16,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,1371,0.0328918957823521,1
iPhone,iPhone 16 Pro Max,Other,TEKNE Spotfree Cleaning Spray,1244,0.0321779617175375,1
iPhone,iPhone 16 Pro Max,Cable,Lightning to USB Cable  1m ,1139,0.0294619762027935,1
iPhone,iPhone 16 Plus,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,761,0.0275056927024975,1
iPhone,iPhone 16 Pro Max,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,1019,0.0263579927573719,1
iPhone,iPhone Other,Charger/Adapter,PULSE PD20W wall charger - white,6323,0.026312394665113,1
iPhone,iPhone 15 Plus,Charger/Adapter,PULSE 30W Single port Adapter,218,0.0249029015307288,1
iPhone,iPhone 15 Plus,Cable,Pulse 22.5W Fast Charging Power Bank with Cable,218,0.0249029015307288,1
iPhone,iPhone 15 Pro,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Clear,75,0.0247524752475247,1
iPhone,iPhone 16 Pro Max,Cable,USB-C CHARGE CABLE  1M -ZML,951,0.0245990688049663,1
iPhone,iPhone Other,Cable,USB-C CHARGE CABLE  1M -ZML,5902,0.0245604544225047,1
iPhone,iPhone 15 Pro,Charger/Adapter,30W USB-C Power Adapter,74,0.0244224422442244,1
iPhone,iPhone 16 Plus,Cable,Lightning to USB Cable  1m ,651,0.0235298369899157,1
iPhone,iPhone 15 Pro,Cable,Pulse 22.5W Fast Charging Power Bank with Cable,68,0.0224422442244224,1
iPhone,iPhone 16,Cable,Lightning to USB Cable  1m ,928,0.0222638069190537,1
iPhone,iPhone 15 Pro,Case,Pulse Newton Magsafe Case for iPhone 15 Pro-Grey,67,0.0221122112211221,1
iPhone,iPhone Other,Other,TEKNE Spotfree Cleaning Spray,5177,0.0215434551923597,1
iPhone,iPhone 15 Pro,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,65,0.0214521452145214,1
iPhone,iPhone 15 Pro Max,Charger/Adapter,30W USB-C Power Adapter,501,0.0214020248622324,1
iPhone,iPhone 16 Plus,Charger/Adapter,30W USB-C Power Adapter,542,0.0195901254201756,1
iPhone,iPhone Other,Charger/Adapter,30W USB-C Power Adapter,4695,0.0195376708765943,1
iPhone,iPhone 15 Pro,Case,Pulse Clear Magsafe Case for iPhone 15 Pro-Clear,59,0.0194719471947194,1
iPhone,iPhone 16 Plus,Cable,USB-C CHARGE CABLE  1M -ZML,528,0.0190841074203925,1
iPhone,iPhone 16,Cable,USB-C CHARGE CABLE  1M -ZML,757,0.0181613166354781,1
iPhone,iPhone 15 Pro,Case,Pulse LIQUID silicon case for iPhone 15 Pro-Black,53,0.0174917491749174,1
iPhone,iPhone 16 Pro,Case,iPhone 16 Pro Clear Case with MagSafe,364,0.0174421390579328,1
