lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
Mac,MacBook Pro,Other,TEKNE Spotfree Cleaning Spray,343,0.16756228627259404,1
Mac,iMac,Other,TEKNE Spotfree Cleaning Spray,45,0.1490066225165563,1
Mac,MacBook Air,Other,TEKNE Spotfree Cleaning Spray,1015,0.11881072222872527,1
Mac,Mac Mini,Cable,USB-C to Lightning Cable  1m ,261,0.10171473109898675,1
Mac,Mac Other,Keyboard,Magic Keyboard USB-C,4,0.09302325581395349,1
Mac,Mac Other,Mouse/Trackpad,Magic Mouse White -  USB-C ,4,0.09302325581395349,1
Mac,Mac Other,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,4,0.09302325581395349,1
Mac,iMac,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),28,0.09271523178807947,1
Mac,Mac Mini,Charger/Adapter,20W USB-C Power Adapter,211,0.08222915042868277,1
Mac,iMac,Other,TEKNE essential USB-C Hub,23,0.076158940397351,1
Mac,Mac Other,Other,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand,3,0.06976744186046512,1
Mac,Mac Other,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),3,0.06976744186046512,1
Mac,Mac Other,Keyboard,Apple Magic Keyboard - US English,3,0.06976744186046512,1
Mac,Mac Other,Mouse/Trackpad,Magic Mouse Black -  USB-C ,3,0.06976744186046512,1
Mac,MacBook Air,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,539,0.06309259042490928,1
Mac,MacBook Pro,Other,Pulse Magnetic privacy filter for MacBook Pro 14.2 inch M1 M2 2021  2023 ,103,0.05031753786028334,1
Mac,iMac,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,15,0.04966887417218543,1
Mac,Mac Other,Cable,Pulse Cable,2,0.046511627906976744,1
Mac,Mac Other,Other,Pulse Magnetic privacy filter for MacBook Pro 16.2 inch 2021  M1 M2 2021- 2023 ,2,0.046511627906976744,1
Mac,Mac Other,Keyboard,Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - Black Keys - US English,2,0.046511627906976744,1
Mac,Mac Other,Charger/Adapter,USB-C Digital AV Multiport Adapter,2,0.046511627906976744,1
Mac,Mac Other,Keyboard,Magic Keyboard Touch ID With Num Keypad Black -  USB-C ,2,0.046511627906976744,1
Mac,Mac Mini,Other,EarPods  USB-C ,119,0.04637568199532346,1
Mac,Mac Mini,Other,Apple EarPods with Lightning Connector,116,0.04520654715510522,1
Mac,Mac Mini,Cable,Lightning to USB Cable  1m ,114,0.044427123928293066,1
Mac,MacBook Air,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),377,0.044129696827812245,1
