Store name,LOCATION,CITY,CM,Wall,Panel Name,BRAND,BRAND Type,Product,Product Type,x,SHELF,Per shelf,Capacity,x.1,PEGS,Per peg,Capacity.1,Unnamed: 18
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W1,Apple Panel,Apple,,Apple Accessories,,,3,5,5,,30,8,240,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W2,Mixed Panel,Apple/Popsoket/UAG/Panzer,Tekne+,Apple phone cases/Accessories,Phone case,,-,-,-,,48,10,480,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W3,TPA Panel,TEKNE,Tekne,Phone cases,Phone case,,-,-,-,,48,10,480,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W4,TPA Panel,TEKNE,Tekne,IPAD CASES/ IPAD TG,,,-,-,-,,18,8,144,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W5,Mixed Panel,Apple/Native Union,,Watch Bands,,,-,-,-,,18,8,144,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W6,Apple Panel,APPLE,,Homepod,,,3,4,4,,0,0,0,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W7,TPA Panel,Tekne,Tekne,Organiser/TSF/adaptors,,,3,4,8,,24,8,192,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W8,Apple Panel,APPLE,,AIRPODS/ Beats /Magic keyboards,,,4,14,6,,,,,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W9,Apple Panel,APPLE,,Phones/Pencil/Magic keyboards for ipad,,,8,6,6,,,,,
IMAGINE- UB CITY BENGALURU,IMAGINE @ U.B.CITY,Bangalore,Chandana,W10,Apple Panel,APPLE,,Mac/Airpods/Beats,,,3,10,10,,0,0,0,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W1,TPA Panel,PANZER,,LENS PROTECTOR/TG,,,-,-,-,,24,8,192,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W2,TPA Panel,TEKNE,Tekne,IPHONE CASES,Phone case,,-,-,-,,42,8,336,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W3,TPA Panel,TEKNE,Tekne,IPHONE CASES,Phone case,,-,-,-,,48,8,384,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W4,Mixed Panel,APPLE/TEKNE,Tekne+,IPHONE CASES/IPHONE CASES,Phone case,,-,-,-,,48,8,384,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W5,TPA Panel,TEKNE,Tekne,HUBS/POWER ADAPTORS/CABLES,,,-,-,-,,48,8,384,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W6,Apple Panel,APPLE,,HOMEPOD MINI/HOMEPOD,,,3,2,4,,0,0,0,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W7,TPA Panel,TEKNE/GRIPP,Tekne+,IPAD CASES/ IPAD TG,,,-,-,-,,20,8,160,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W8,Apple Panel,APPLE,,APPLE TV,,,3,2,4,,0,0,0,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W9,Apple Panel,APPLE,,ADAPTORS/ CABLES/EARPHONES/ MAGIC KEYBOARD/ MAGIC MOUSE/ APPLE PENCIL,,,3,2,4,,30,10,300,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W10,Apple Panel,APPLE,,IPHONES/ AIRPODS/ ADAPTORS,,,3,6,6,,24,8,192,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W11,Apple Panel,APPLE/ BEATS,,AIRPODS/ BEATS HEADPHONE,,,2,6,6,,0,0,0,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W12,TPA Panel,POP SOCKETS/VALENTA/ POWERUP,,POPSOCKETS/SSD DRIVE/ CARD HIOLDERS/ MOBILE HOLDERS/,,,-,-,-,,30,8,240,
IMAGINE- HSR LAYOUT BENGALURU,IMAGINE @ HSR LAYOUT,Bangalore,Priya,W13,TPA Panel,UH/TEKNE/BOSE/PANZER/ GRAVASTAR,Tekne+,UH RING/ TEKNE SPRAY/ PANZER SPRAY/TEKNE ORGANIZER/ GAMING MOUSE,,,4,6,6,,0,0,0,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W1,PA,Apple,,Apple Accessories,,,0,0,0,,30,7,210,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W1,PA,Apple,,Apple Accessories,,,4,25,100,,0,0,0,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W2,PM,"Apple,Tekne and Panzer",Tekne+,"Watch Bands,Cases and TG",Phone case,,0,0,0,,36,5,180,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W3,PM,"Apple,Tucano and Tekne",Tekne+,iPad Cases,,,0,0,0,,36,3,108,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W4,PA,Apple,,"Apple TV,iPad and Apple Watch",,,6,16,96,,0,0,0,
IMAGINE- VEGA CITY MALL BENGALURU,IMAGINE @ VEGA CITY,BANGALORE,PRIYA,W5,PM,Apple and Tekne,Tekne+,iPhone Cases,Phone case,,0,0,0,,36,5,180,
