2025-07-23 00:34:06,816 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 00:34:06,817 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 00:34:06,818 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 00:34:06,818 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 00:34:06,818 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 01:12:49,579 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 01:12:49,580 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 01:12:49,581 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 01:12:49,582 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 01:12:49,583 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 01:12:51,581 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250723_011249.png
2025-07-23 01:25:40,461 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 01:25:40,461 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 01:25:40,463 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 01:25:40,463 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 01:25:40,464 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 01:25:42,411 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250723_012540.png
2025-07-23 01:45:23,516 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 01:45:23,517 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 01:45:23,518 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 01:45:23,518 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 01:45:23,519 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 01:45:28,823 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 01:45:28,823 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
